listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
220886,Apple Cell Phones - iPhone 8 Plus - 76 Units - Grade C(T) - CT0074607A,"$4,492",5 bidders,"Feb 20, 2025 12:05:44 PM PDT",76.0,59.11,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4108.jpg,CT0074607A,Grade C(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, RED, SLV","J168B, J169B, J109C, J251B, J112C, J171B, J252B, J166B, J117C, J167B, J170B, J250B, J501B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
197848,Apple Cell Phones - iPhone 8 Plus - 38 Units - Grade B+(T) - CT0062704A,"$3,905",7 bidders,"Jun 21, 2024 10:32:57 AM PDT",38.0,102.76,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4006.jpg,CT0062704A,Grade B+(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, RED, SLV","J168B, J169B, J112C, J171B, J166B, J167B, J170B, J501B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
212400,Apple Cell Phones - iPhone 8 Plus - 23 Units - Grade B+(T) - CT0070503A,"$2,212",6 bidders,"Nov 21, 2024 11:10:20 AM PDT",23.0,96.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4075.jpg,CT0070503A,Grade B+(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, SLV","A167B, J168B, J109C, J169B, J171B, J166B, J167B, J170B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
218288,Apple Cell Phones - iPhone 8 Plus - 37 Units - Grade C(T) - CT0073264A,"$2,239",7 bidders,"Jan 23, 2025 1:43:30 PM PDT",37.0,60.51,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4095.jpg,CT0073264A,Grade C(T),IPH 8P,"64GB, 256GB","GLD, SGY, RED, SLV","J168B, J169B, J171B, J166B, J247B, J167B, J170B, J501B, J248B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
219584,Apple Cell Phones - iPhone 8 Plus - 27 Units - Grade B(T) - CT0073994A,"$1,755",8 bidders,"Feb 6, 2025 12:41:54 PM PDT",27.0,65.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4101.jpg,CT0073994A,Grade B(T),IPH 8P,"64GB, 256GB","GLD, SGY, RED, SLV","J168B, J169B, J171B, J166B, J247B, J167B, J170B, S501B, J501B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
222883,Apple Cell Phones - iPhone 8 Plus - 95 Units - Grade C(T) - CT0075642A,"$5,544",6 bidders,"Mar 13, 2025 11:54:11 AM PDT",95.0,58.36,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4117.jpg,CT0075642A,Grade C(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, RED, SLV","J168B, J169B, J109C, J251B, J112C, J171B, J166B, J117C, J167B, J170B, J502B, J501B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
223861,Apple Cell Phones - iPhone 8 Plus - 60 Units - Grade C(T) - CT0076043A,"$3,375",7 bidders,"Mar 20, 2025 12:47:05 PM PDT",60.0,56.25,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4122.jpg,CT0076043A,Grade C(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, RED, SLV","J168B, J169B, J109C, S166B, J171B, J252B, J166B, S167B, S168B, J167B, J170B, J250B, S501B, J501B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
226313,Apple Cell Phones - iPhone 8 Plus - 28 Units - Grade C(T) - CT0077381A,"$1,463",4 bidders,"Apr 17, 2025 10:49:56 AM PDT",28.0,52.25,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4129.jpg,CT0077381A,Grade C(T),IPH 8P,"64GB, 256GB","GLD, SGY, SLV","J168B, J169B, J171B, J166B, J167B, J170B, J250B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
227617,Apple Cell Phones - iPhone 8 Plus - 21 Units - Grade B+(T) - CT0078006A,"$1,875",9 bidders,"May 1, 2025 11:37:22 AM PDT",21.0,89.29,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4135.jpg,CT0078006A,Grade B+(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, SLV","J168B, J169B, J171B, J252B, J166B, J117C, J247B, J167B, J170B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
228151,Apple Cell Phones - iPhone 8 Plus - 48 Units - Grade C(T) - CT0078204A,"$2,525",4 bidders,"May 8, 2025 11:21:40 AM PDT",48.0,52.6,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4136.jpg,CT0078204A,Grade C(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, RED, SLV","J168B, J169B, S166B, J112C, J171B, J166B, J167B, J505B, J502B, J501B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
229910,Apple Cell Phones - iPhone 8 Plus - 45 Units - Grade C(T) - CT0079101A,"$2,050",4 bidders,"May 29, 2025 11:44:06 AM PDT",45.0,45.56,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4140.jpg,CT0079101A,Grade C(T),IPH 8P,"64GB, 256GB","GLD, SGY, SLV","J168B, J169B, A171B, J171B, J166B, J247B, J167B, J250B, J170B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
200124,Apple Cell Phones - iPhone 8 Plus - 30 Units - Grade B+(T) - CT0064018A,"$3,075",4 bidders,"Jul 18, 2024 10:13:12 AM PDT",30.0,102.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4016.jpg,CT0064018A,Grade B+(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, RED, SLV","J168B, J169B, J109C, S171B, J112C, J171B, J166B, J167B, J501B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
225117,Apple Cell Phones - iPhone 8 Plus - 47 Units - Grade C(T) - CT0076733A,"$2,845",5 bidders,"Apr 3, 2025 12:15:14 PM PDT",47.0,60.53,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4125.jpg,CT0076733A,Grade C(T),IPH 8P,"64GB, 256GB, 128GB","GLD, SGY, RED, SLV","J168B, J169B, J171B, J249B, J166B, J117C, J167B, J505B, J170B, J502B, J501B, U166B",Iphone 8 Plus,64GB,Iphone 8 Plus 64GB
