listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190264,Apple Cell Phones - iPhone SE (2022) - 51 Units - Grade B+(T) - CT0058796A,"$6,838",4 bidders,"Apr 4, 2024 9:56:15 AM PDT",51.0,134.08,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_496.jpg,CT0058796A,Grade B+(T),"IPH SE22, SE2","64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, A370D, S370D, J373D, J370D, A371D, J372D, J393D, J377D, J391D, U371D, U372D, E370D, J375D, A372D, S373D",Iphone Se,64GB,Iphone Se 64GB
190297,Apple Cell Phones - iPhone SE (2022) - 23 Units - Grade A+(T) - CT0058897A,"$3,728",8 bidders,"Apr 4, 2024 9:49:37 AM PDT",23.0,162.09,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_496.jpg,CT0058897A,Grade A+(T),IPH SE22,"64GB, 128GB","STL, RED, MDN","J371D, A370D, S370D, J389D, J373D, J370D, A371D, J372D, A372D, S373D",Iphone Se,64GB,Iphone Se 64GB
190813,Apple Cell Phones - iPhone SE (2020) - 25 Units - Grade B+(T) - CT0059229A,"$2,125",5 bidders,"Apr 9, 2024 3:04:44 PM PDT",25.0,85.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2020_2016.jpg,CT0059229A,Grade B+(T),"IPHN SE20, IPH SE20X","64GB, 128GB","RED, WHT, BLK","J820C, A479C, A817C, S822C, A481C, A820C, A819C, J817C, S817C, J819C, J818C",Iphone Se,64GB,Iphone Se 64GB
190777,Apple Cell Phones - iPhone SE (2022) - 15 Units - Grade AA+(T) - CT0059309A,"$2,525",9 bidders,"Apr 11, 2024 9:58:12 AM PDT",15.0,168.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_500.jpg,CT0059309A,Grade AA+(T),IPH SE22,"64GB, 128GB","STL, RED, MDN","J374D, S370D, J373D, J370D, J375D",Iphone Se,64GB,Iphone Se 64GB
190930,Apple Cell Phones - iPhone SE (2022) - 37 Units - Grade A+(T) - CT0059180A,"$6,025",8 bidders,"Apr 11, 2024 10:26:57 AM PDT",37.0,162.84,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_501.jpg,CT0059180A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, A370D, S370D, S372D, J373D, J370D, E372D, J377D, U372D, E370D",Iphone Se,64GB,Iphone Se 64GB
191551,Apple Cell Phones - iPhone SE (2022) - 28 Units - Grade B+(T) - CT0059574A,"$4,126",10 bidders,"Apr 18, 2024 10:48:57 AM PDT",28.0,147.36,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_504.jpg,CT0059574A,Grade B+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, A378D, A370D, S370D, S372D, J373D, J370D, A371D, J372D, E370D, A372D",Iphone Se,64GB,Iphone Se 64GB
198692,Apple Cell Phones - iPhone SE (2022) - 24 Units - Grade B+(T) - CT0063168A,"$3,276",8 bidders,"Jun 27, 2024 9:55:29 AM PDT",24.0,136.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_555.jpg,CT0063168A,Grade B+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, A370D, S370D, J373D, J370D, J372D, J376D, A372D",Iphone Se,64GB,Iphone Se 64GB
205663,Apple Cell Phones - iPhone SE (2020) - 31 Units - Grade B+(T) - CT0066958A,"$2,600",8 bidders,"Sep 12, 2024 10:49:22 AM PDT",31.0,83.87,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2020_2112.jpg,CT0066958A,Grade B+(T),"IPH SE20, IPH SE2, IPH SE20X","64GB, 256GB, 128GB","RED, WHT, BLK","J820C, J482C, A817C, J480C, A477C, E818C, J483C, J479C, J817C, J477C, S817C, J819C, J478C, J818C, J913C",Iphone Se,64GB,Iphone Se 64GB
213672,Apple Cell Phones - iPhone SE (2022) - 34 Units - Grade B+(T) - CT0071241A,"$3,949",7 bidders,"Dec 5, 2024 10:36:45 AM PDT",34.0,116.15,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_671.jpg,CT0071241A,Grade B+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, A370D, S370D, A377D, P370D, J373D, J370D, J372D, P371D, J376D, P373D, A372D, A391D",Iphone Se,64GB,Iphone Se 64GB
214227,Apple Cell Phones - iPhone SE (2022) - 51 Units - Grade A+(T) - CT0071557A,"$7,426",8 bidders,"Dec 12, 2024 10:23:40 AM PDT",51.0,145.61,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_676.jpg,CT0071557A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, A378D, A370D, S370D, J373D, J370D, A371D, J372D, P372D, E371D, J376D, A372D",Iphone Se,64GB,Iphone Se 64GB
