listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
198644,Apple Cell Phones - iPhone X - 25 Units - Grade B+(T) - CT0063136A,"$2,475",6 bidders,"Jun 27, 2024 8:52:53 AM PDT",25.0,99.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4529.jpg,CT0063136A,Grade B+(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, S172B, J172B, J173B, J174B, J256B",Iphone X,64GB,Iphone X 64GB
206364,Apple Cell Phones - iPhone X - 25 Units - Grade B+(T) - CT0067328A,"$2,555",5 bidders,"Sep 19, 2024 10:28:19 AM PDT",25.0,102.2,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4570.jpg,CT0067328A,Grade B+(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, J172B, J173B, J254B, J174B",Iphone X,64GB,Iphone X 64GB
220605,Apple Cell Phones - iPhone X - 16 Units - Grade B+(T) - CT0074777A,"$1,475",5 bidders,"Feb 20, 2025 12:03:25 PM PDT",16.0,92.19,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4636.jpg,CT0074777A,Grade B+(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, J172B, J173B, J253B, J174B",Iphone X,64GB,Iphone X 64GB
229229,Apple Cell Phones - iPhone X - 25 Units - Grade B+(T) - CT0078807A,"$2,551",5 bidders,"May 22, 2025 12:05:48 PM PDT",25.0,102.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4661.jpg,CT0078807A,Grade B+(T),IPH X,"64GB, 256GB","SGY, SLV","J173B, J175B, J172B, J174B",Iphone X,64GB,Iphone X 64GB
193206,Apple Cell Phones - iPhone X - 18 Units - Grade A+(T) - CT0060402A,"$2,726",4 bidders,"May 2, 2024 10:40:38 AM PDT",18.0,151.44,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4505.jpg,CT0060402A,Grade A+(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, S172B, J172B, J173B, J174B, S174B",Iphone X,64GB,Iphone X 64GB
204966,Apple Cell Phones - iPhone X - 15 Units - Grade B+(T) - CT0066736A,"$1,601",9 bidders,"Sep 5, 2024 10:33:30 AM PDT",15.0,106.73,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4564.jpg,CT0066736A,Grade B+(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, U173B, J172B, J173B, J174B",Iphone X,64GB,Iphone X 64GB
217190,Apple Cell Phones - iPhone X - 26 Units - Grade B+(T) - CT0072718A,"$2,725",6 bidders,"Jan 9, 2025 10:17:19 AM PDT",26.0,104.81,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4621.jpg,CT0072718A,Grade B+(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, J172B, J173B, S175B, J174B, U172B",Iphone X,64GB,Iphone X 64GB
221718,Apple Cell Phones - iPhone X - 51 Units - Grade C(T) - CT0075049A,"$4,025",10 bidders,"Feb 27, 2025 1:54:30 PM PDT",51.0,78.92,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4639.jpg,CT0075049A,Grade C(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, S172B, J172B, J173B, J255B, J253B, J174B, J256B",Iphone X,64GB,Iphone X 64GB
224876,Apple Cell Phones - iPhone X - 25 Units - Grade C(T) - CT0076792A,"$1,815",4 bidders,"Apr 3, 2025 10:07:08 AM PDT",25.0,72.6,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4649.jpg,CT0076792A,Grade C(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, J173B, J172B, J255B, J253B, J174B, S174B",Iphone X,64GB,Iphone X 64GB
228142,Apple Cell Phones - iPhone X - 50 Units - Grade C(T) - CT0078195A,"$3,875",6 bidders,"May 8, 2025 11:20:27 AM PDT",50.0,77.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4659.jpg,CT0078195A,Grade C(T),IPH X,"64GB, 256GB","SGY, SLV","J175B, J172B, J173B, J253B, J254B, S175B, J174B, J256B",Iphone X,64GB,Iphone X 64GB
