listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
213681,Apple Cell Phones - iPhone XS - 21 Units - Grade B+(T) - CT0071302A,"$2,605",6 bidders,"Dec 5, 2024 10:51:32 AM PDT",21.0,124.05,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3093.jpg,CT0071302A,Grade B+(T),IPH XS,"512GB, 256GB, 64GB","GLD, SGY, SLV","J566B, J564B, J561B, J560B, J562B, J563B",Iphone Xs,512GB,Iphone Xs 512GB
220675,Apple Cell Phones - iPhone XS - 21 Units - Grade B(T) - CT0074760A,"$2,000",9 bidders,"Feb 20, 2025 12:13:58 PM PDT",21.0,95.24,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3117.jpg,CT0074760A,Grade B(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","J565B, J564B, A562B, J560B, J561B, J562B, J563B, S560B, S570B",Iphone Xs,512GB,Iphone Xs 512GB
221582,Apple Cell Phones - iPhone XS - 45 Units - Grade C(T) - CT0075067A,"$3,465",5 bidders,"Feb 27, 2025 11:56:16 AM PDT",45.0,77.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3121.jpg,CT0075067A,Grade C(T),IPH XS,"512GB, 256GB, 64GB","GLD, SGY, SLV","J565B, S566B, S561B, J566B, J564B, J560B, J561B, S562B, J562B, J563B, J569B",Iphone Xs,512GB,Iphone Xs 512GB
207536,Apple Cell Phones - iPhone XS - 30 Units - Grade B+(T) - CT0068011A,"$4,011",7 bidders,"Oct 3, 2024 10:26:39 AM PDT",30.0,133.7,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3071.jpg,CT0068011A,Grade B+(T),IPH XS,"512GB, 256GB, 64GB","GLD, SGY, SLV","J565B, J566B, J564B, J560B, J561B, J563B, J562B",Iphone Xs,512GB,Iphone Xs 512GB
218824,Apple Cell Phones - iPhone XS - 17 Units - Grade B(T) - CT0073732A,"$1,625",5 bidders,"Jan 30, 2025 12:06:36 PM PDT",17.0,95.59,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3110.jpg,CT0073732A,Grade B(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","U562B, J565B, J566B, J564B, J561B, J560B, J563B, J562B",Iphone Xs,512GB,Iphone Xs 512GB
220897,Apple Cell Phones - iPhone XS - 34 Units - Grade C(T) - CT0074692A,"$2,700",5 bidders,"Feb 20, 2025 12:19:40 PM PDT",34.0,79.41,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3120.jpg,CT0074692A,Grade C(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","J565B, S561B, J566B, J564B, J560B, J561B, J562B, J563B",Iphone Xs,512GB,Iphone Xs 512GB
222407,Apple Cell Phones - iPhone XS - 18 Units - Grade B(T) - CT0075481A,"$2,025",7 bidders,"Mar 6, 2025 12:19:15 PM PDT",18.0,112.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3122.jpg,CT0075481A,Grade B(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","J565B, J566B, J564B, J560B, J561B, J562B, J563B, S560B",Iphone Xs,512GB,Iphone Xs 512GB
222416,Apple Cell Phones - iPhone XS - 25 Units - Grade C(T) - CT0075427A,"$2,025",6 bidders,"Mar 6, 2025 12:03:48 PM PDT",25.0,81.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3122.jpg,CT0075427A,Grade C(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","J570B, J565B, J566B, J564B, J560B, J561B, J562B, J563B",Iphone Xs,512GB,Iphone Xs 512GB
223154,Apple Cell Phones - iPhone XS - 94 Units - Grade C(T) - CT0075645A,"$7,505",5 bidders,"Mar 13, 2025 12:30:06 PM PDT",94.0,79.84,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3125.jpg,CT0075645A,Grade C(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","J570B, J565B, J566B, J564B, J560B, J561B, J563B, J562B, S560B, J569B",Iphone Xs,512GB,Iphone Xs 512GB
225690,Apple Cell Phones - iPhone XS - 25 Units - Grade C(T) - CT0077099A,"$1,900",5 bidders,"Apr 10, 2025 10:49:52 AM PDT",25.0,76.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3133.jpg,CT0077099A,Grade C(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","J570B, J565B, J566B, J564B, J561B, J560B, J562B, J563B, S560B",Iphone Xs,512GB,Iphone Xs 512GB
195151,Apple Cell Phones - iPhone XS - 7 Units - Grade A+(T) - CT0061521A,"$1,080",6 bidders,"May 23, 2024 10:28:14 AM PDT",7.0,154.29,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3019.jpg,CT0061521A,Grade A+(T),IPH XS,"512GB, 256GB, 64GB","GLD, SGY, SLV","J565B, J566B, J564B, A562B, S564B, J563B",Iphone Xs,512GB,Iphone Xs 512GB
212317,Apple Cell Phones - iPhone XS - 3 Units - Grade B+(T) - CT0070588A,$327,6 bidders,"Nov 21, 2024 11:04:36 AM PDT",3.0,109.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3088.jpg,CT0070588A,Grade B+(T),IPH XS,"512GB, 64GB","GLD, SGY, SLV","J570B, J561B, A560B",Iphone Xs,512GB,Iphone Xs 512GB
218228,Apple Cell Phones - iPhone XS - 11 Units - Grade B+(T) - CT0073426A,"$1,425",7 bidders,"Jan 23, 2025 10:51:23 AM PDT",11.0,129.55,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3107.jpg,CT0073426A,Grade B+(T),IPH XS,"512GB, 64GB, 256GB","GLD, SGY, SLV","J566B, J564B, J561B, J560B, J563B, J562B",Iphone Xs,512GB,Iphone Xs 512GB
