listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190036,"Apple Cell Phones - iPhone 13 Pro, 128GB - 150 Units - Grade B+(T) - AT034331","$61,750",2 bidders,"Apr 2, 2024 9:57:36 AM PDT",150.0,411.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1536.jpg,AT034331,Grade B+(T),IPH 13P,128GB,"Graphite, blue, Green, silver, gold","J180D, A179D, E362D, A362D, T180D, D179D, A180D, E180D, A178D, A177D, E179D, E177D, S178D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
190280,"Apple Cell Phones - iPhone 13 Pro, 128GB - 73 Units - Grade B+(T) - CT0058718A","$30,200",5 bidders,"Apr 4, 2024 10:15:57 AM PDT",73.0,413.7,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1539.jpg,CT0058718A,Grade B+(T),IPH 13P,128GB,"GLD, BLU, GPH, SLV, GRN","A179D, A362D, J177D, S177D, A180D, E180D, J179D, A177D, A178D, J180D, J362D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
190395,"Apple Cell Phones - iPhone 13 Pro, 128GB - 143 Units - Grade A+(T) - CT0058681A","$62,751",8 bidders,"Apr 4, 2024 10:13:54 AM PDT",143.0,438.82,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1540.jpg,CT0058681A,Grade A+(T),"APL IPH 13P, IPH 13P",128GB,"GLD, BLU, GPH, SLV, GRN","A179D, J178D, U362D, E178D, E362D, A362D, J177D, E177D, A180D, E180D, A177D, A178D, J180D, J362D, J179D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
190667,"Apple Cell Phones - iPhone 13 Pro, 128GB - 75 Units - Grade A+(T) - AT034708","$34,851",4 bidders,"Apr 9, 2024 7:16:28 AM PDT",75.0,464.68,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1543.jpg,AT034708,Grade A+(T),IPH 13P,128GB,"Graphite, blue, Green, silver, gold","A179D, E362D, A362D, T180D, S362D, A180D, E180D, A178D, A177D, E179D, E177D, T177D, T179D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
190715,"Apple Cell Phones - iPhone 13 Pro, 128GB - 75 Units - Grade B+(T) - AT034707","$31,200",6 bidders,"Apr 9, 2024 9:57:59 AM PDT",75.0,416.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1544.jpg,AT034707,Grade B+(T),IPH 13P,128GB,"Graphite, blue, Green, silver, gold","A179D, E178D, A362D, D179D, S177D, A180D, E180D, A178D, A177D, E179D, E177D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
190838,"Apple Cell Phones - iPhone 13 Pro, 128GB - 78 Units - Grade A+(T) - CT0059053A","$34,101",4 bidders,"Apr 11, 2024 8:39:44 AM PDT",78.0,437.19,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1545.jpg,CT0059053A,Grade A+(T),IPH 13P,128GB,"GLD, BLU, GPH, SLV, GRN","A179D, A362D, J177D, A180D, E180D, A178D, A177D, E179D, J180D, J179D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
191166,"Apple Cell Phones - iPhone 13 Pro, 128GB - 50 Units - Grade B+(T) - AT034933","$21,550",5 bidders,"Apr 16, 2024 10:08:47 AM PDT",50.0,431.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1549.jpg,AT034933,Grade B+(T),IPH 13P,128GB,"Graphite, blue, Green, silver, gold","A179D, J178D, A362D, A180D, E180D, S180D, A178D, A177D, D362D, U362D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
191466,"Apple Cell Phones - iPhone 13 Pro, 128GB - 175 Units - Grade B+(T) - CN0001319A","$73,100",10 bidders,"Apr 17, 2024 11:21:22 AM PDT",175.0,417.71,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1551.jpg,CN0001319A,Grade B+(T),IPH 13P,128GB,"GLD, BLU, GPH, SLV, GRN","C177D, C180D, C362D, C178D, C179D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
191462,"Apple Cell Phones - iPhone 13 Pro, 128GB - 225 Units - Grade A+(T) - CN0001312A","$94,751",7 bidders,"Apr 17, 2024 11:46:56 AM PDT",225.0,421.12,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1551.jpg,CN0001312A,Grade A+(T),IPH 13P,128GB,"BLU, GPH, GRN, GLD","C179D, C177D, C180D, C362D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
198495,"Apple Cell Phones - iPhone 13 Pro, 128GB - 325 Units - Grade B+(T) - CN0001773A","$137,521",5 bidders,"Jun 26, 2024 9:48:34 AM PDT",325.0,423.14,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1627.jpg,CN0001773A,Grade B+(T),IPH 13P,128GB,"GLD, BLU, GPH, SLV, GRN","C177D, C180D, C362D, C178D, C179D",iPhone 13 Pro,128GB,iPhone 13 Pro 128GB
