listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
220645,"Apple Cell Phones - iPhone 14 Pro, 1TB - 32 Units - Grade C(T) - CT0074704A","$12,146",4 bidders,"Feb 20, 2025 10:05:14 AM PDT",32.0,379.56,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_885.jpg,CT0074704A,Grade C(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","J525D, A525D, S526D, J523D, J526D, E525D, A526D, J524D, A523D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
220756,"Apple Cell Phones - iPhone 14 Pro, 1TB - 51 Units - Grade B+(T) - CT0074561A","$23,605",5 bidders,"Feb 20, 2025 9:52:21 AM PDT",51.0,462.84,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_886.jpg,CT0074561A,Grade B+(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","A525D, J525D, E526D, J523D, J526D, S523D, A523D, A526D, J524D, E523D, A524D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
221657,"Apple Cell Phones - iPhone 14 Pro, 1TB - 62 Units - Grade C(T) - CT0074965A","$22,264",4 bidders,"Feb 27, 2025 11:48:11 AM PDT",62.0,359.1,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_894.jpg,CT0074965A,Grade C(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","J525D, A525D, E526D, J523D, E524D, J526D, A523D, S525D, A526D, J524D, E523D, A524D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
201381,"Apple Cell Phones - iPhone 14 Pro, 1TB - 17 Units - Grade B+(T) - CT0064815A","$11,500",3 bidders,"Aug 1, 2024 9:52:24 AM PDT",17.0,676.47,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_697.jpg,CT0064815A,Grade B+(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","J525D, J523D, J526D, A523D, A526D, J524D, A524D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
215463,"Apple Cell Phones - iPhone 14 Pro, 1TB - 23 Units - Grade B+(T) - AT043902","$10,597",5 bidders,"Dec 24, 2024 10:53:46 AM PDT",23.0,460.74,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_836.jpg,AT043902,Grade B+(T),IPH 14P,1TB,"Purple, Black, Gold, Silver","A525D, E526D, J526D, A523D, A526D, A524D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
216404,"Apple Cell Phones - iPhone 14 Pro, 1TB - 28 Units - Grade B+(T) - CT0072421A","$12,550",6 bidders,"Jan 2, 2025 10:48:15 AM PDT",28.0,448.21,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_844.jpg,CT0072421A,Grade B+(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","A525D, E526D, J523D, J526D, E525D, U526D, S523D, A526D, A524D, J524D, E523D, A523D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
220135,"Apple Cell Phones - iPhone 14 Pro, 1TB - 57 Units - Grade C(T) - CT0074178A","$22,000",4 bidders,"Feb 13, 2025 10:49:13 AM PDT",57.0,385.96,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_880.jpg,CT0074178A,Grade C(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","A525D, J525D, E526D, S526D, J523D, J526D, S523D, A523D, A526D, J524D, E523D, A524D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
225700,"Apple Cell Phones - iPhone 14 Pro, 1TB - 29 Units - Grade C(T) - CT0077079A","$10,490",2 bidders,"Apr 10, 2025 9:51:12 AM PDT",29.0,361.72,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_934.jpg,CT0077079A,Grade C(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","J525D, E526D, J523D, J526D, J524D, E523D, A523D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
228145,"Apple Cell Phones - iPhone 14 Pro, 1TB - 32 Units - Grade C(T) - CT0078236A","$12,526",4 bidders,"May 8, 2025 11:04:26 AM PDT",32.0,391.44,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_957.jpg,CT0078236A,Grade C(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","J525D, E526D, J523D, J526D, S525D, J524D, E523D, A523D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
209598,"Apple Cell Phones - iPhone 14 Pro, 1TB - 30 Units - Grade B+(T) - CT0069033A","$16,136",6 bidders,"Oct 24, 2024 11:29:41 AM PDT",30.0,537.87,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_779.jpg,CT0069033A,Grade B+(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","J525D, A525D, S526D, A523D, S523D, A526D, J524D, A524D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
211846,"Apple Cell Phones - iPhone 14 Pro, 1TB - 25 Units - Grade B+(T) - CT0070148A","$11,625",5 bidders,"Nov 14, 2024 11:00:03 AM PDT",25.0,465.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_800.jpg,CT0070148A,Grade B+(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","A525D, J526D, A523D, A526D, A524D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
222013,"Apple Cell Phones - iPhone 14 Pro, 1TB - 25 Units - Grade B+(T) - AT048528","$11,205",7 bidders,"Mar 4, 2025 10:43:13 AM PDT",25.0,448.2,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_897.jpg,AT048528,Grade B+(T),IPH 14P,1TB,"Purple, Black, Gold, Silver","A524D, A525D, A526D, A523D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
224370,"Apple Cell Phones - iPhone 14 Pro, 1TB - 24 Units - Grade C(T) - CT0076504A","$9,418",3 bidders,"Mar 27, 2025 10:34:29 AM PDT",24.0,392.42,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_920.jpg,CT0076504A,Grade C(T),IPH 14P,1TB,"GLD, PUR, SLV, BLK","J525D, J523D, J526D, E525D, J524D, E523D, A523D",iPhone 14 Pro,1TB,iPhone 14 Pro 1TB
