listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190092,Apple Cell Phones - iPhone 15 - 50 Units - Grade A+(T) - AT034454,"$29,601",3 bidders,"Apr 1, 2024 9:05:52 AM PDT",50.0,592.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_86.jpg,AT034454,Grade A+(T),IPH 15,"256GB, 128GB","black, blue, green, yellow, pink","U864D, U869D, U863D, U870D, U872D, U867D, U865D, A870D, U871D, U868D",iPhone 15,256GB,iPhone 15 256GB
190385,Apple Cell Phones - iPhone 15 - 35 Units - Grade A+(T) - CT0058831A,"$19,950",8 bidders,"Apr 4, 2024 9:41:45 AM PDT",35.0,570.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_88.jpg,CT0058831A,Grade A+(T),IPH 15,"256GB, 128GB","BLK, PNK, BLU, GRN, YEL","U864D, U863D, U870D, A867D, U865D, U867D, U866D, J864D, A866D, S866D, J868D, U868D",iPhone 15,256GB,iPhone 15 256GB
190529,Apple Cell Phones - iPhone 15 - 50 Units - Grade B+(T) - AT034624,"$27,750",11 bidders,"Apr 9, 2024 10:21:13 AM PDT",50.0,555.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_89.jpg,AT034624,Grade B+(T),IPH 15,"256GB, 128GB","black, blue, green, yellow, pink","U864D, U869D, U863D, J868D, U872D, U867D, A863D, A868D, U865D, U871D, E868D, A871D, U868D",iPhone 15,256GB,iPhone 15 256GB
190994,Apple Cell Phones - iPhone 15 - 72 Units - Grade A+(T) - CT0059107A,"$40,401",6 bidders,"Apr 11, 2024 10:05:57 AM PDT",72.0,561.12,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_91.jpg,CT0059107A,Grade A+(T),IPH 15,"256GB, 128GB","BLU, PNK, GRN, BLK","U864D, U869D, U863D, U867D, A863D, U866D, J863D, A866D, J864D, J868D",iPhone 15,256GB,iPhone 15 256GB
191237,"Apple Cell Phones - iPhone 15, 256GB - 50 Units - Grade A+(T) - AT034924","$31,350",7 bidders,"Apr 16, 2024 9:58:17 AM PDT",50.0,627.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_94.jpg,AT034924,Grade A+(T),IPH 15,256GB,"black, blue, green, yellow, pink","U869D, U870D, U872D, U871D, A869D, U868D",iPhone 15,256GB,iPhone 15 256GB
206592,Apple Cell Phones - iPhone 15 - 50 Units - Grade A+(T) - AT041396,"$28,301",5 bidders,"Sep 24, 2024 10:09:15 AM PDT",50.0,566.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_187.jpg,AT041396,Grade A+(T),IPH 15,"256GB, 128GB","black, Pink, blue, Green, green, yellow, pink","U869D, U872D, U867D, U865D, A863D, P867D, A868D, U871D, P864D, P863D, P872D, P868D, U868D, P865D",iPhone 15,256GB,iPhone 15 256GB
213497,Apple Cell Phones - iPhone 15 - 50 Units - Grade AA+(T) - AT044327,"$26,500",8 bidders,"Dec 3, 2024 10:18:53 AM PDT",50.0,530.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_232.jpg,AT044327,Grade AA+(T),IPH 15,"256GB, 128GB","black, blue, pink","U864D, U863D, E869D, P866D, A863D, A868D, U866D, P863D, A869D, S864D, J869D, J864D, A871D, S866D, U868D, S863D",iPhone 15,256GB,iPhone 15 256GB
213713,Apple Cell Phones - iPhone 15 - 29 Units - Grade B+(T) - CT0071262A,"$13,400",13 bidders,"Dec 5, 2024 10:59:38 AM PDT",29.0,462.07,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_234.jpg,CT0071262A,Grade B+(T),IPH 15,"256GB, 128GB","BLK, YEL, PNK, BLU, GRN","U864D, U863D, J868D, A867D, J871D, A863D, A868D, A864D, J863D, A869D, J869D, A866D, A865D, A871D",iPhone 15,256GB,iPhone 15 256GB
220706,Apple Cell Phones - iPhone 15 - 63 Units - Grade B+(T) - CT0074623A,"$27,350",8 bidders,"Feb 20, 2025 10:40:48 AM PDT",63.0,434.13,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_289.jpg,CT0074623A,Grade B+(T),"IPH 15, APL IPH 15","256GB, 128GB","BLK, PNK, BLU, GRN, YEL","U864D, U863D, A863D, J864D, A868D, A864D, P863D, A866D, E869D, A867D, J865D, J868D, S868D, S863D, J867D, J866D, J863D, A869D, S867D, A865D",iPhone 15,256GB,iPhone 15 256GB
220916,"Apple Cell Phones - iPhone 15, 256GB - 78 Units - Grade C(T) - CT0074530A","$27,908",4 bidders,"Feb 20, 2025 10:44:11 AM PDT",78.0,357.79,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15_291.jpg,CT0074530A,Grade C(T),"IPH 15, APL IPH 15",256GB,"BLK, PNK, BLU, GRN, YEL","J870D, J872D, J871D, J868D, E869D, J869D, P868D, A871D, E872D",iPhone 15,256GB,iPhone 15 256GB
