listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190460,Apple Cell Phones - iPhone 15 Plus - 15 Units - Grade B+(T) - CT0058943A,"$9,306",6 bidders,"Apr 4, 2024 10:04:23 AM PDT",15.0,620.4,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_82.jpg,CT0058943A,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","A879D, U878D, U890D, U883D, U879D, A881D, A882D, J884D, U887D, A884D, U881D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
191561,Apple Cell Phones - iPhone 15 Plus - 17 Units - Grade AA+(T) - CT0059656A,"$11,776",9 bidders,"Apr 18, 2024 8:52:20 AM PDT",17.0,692.71,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_89.jpg,CT0059656A,Grade AA+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","U878D, U890D, U879D, J879D, J881D, J882D, A884D, J878D, U881D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
205657,Apple Cell Phones - iPhone 15 Plus - 23 Units - Grade B+(T) - CT0066999A,"$13,508",7 bidders,"Sep 12, 2024 10:15:57 AM PDT",23.0,587.3,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_182.jpg,CT0066999A,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","U878D, P881D, J889D, J879D, A889D, J883D, J881D, J892D, J884D, J882D, A878D, J878D, A884D, E880D, U881D, J888D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
213732,Apple Cell Phones - iPhone 15 Plus - 33 Units - Grade A+(T) - CT0071245A,"$19,360",7 bidders,"Dec 5, 2024 10:21:47 AM PDT",33.0,586.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_243.jpg,CT0071245A,Grade A+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","A890D, A886D, A889D, J883D, A887D, A885D, E884D, J884D, E889D, A884D, J886D, A883D, E882D, J888D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
214233,Apple Cell Phones - iPhone 15 Plus - 48 Units - Grade B+(T) - CT0071564A,"$25,001",5 bidders,"Dec 12, 2024 10:14:12 AM PDT",48.0,520.85,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_247.jpg,CT0071564A,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","U883D, U879D, E890D, J883D, A887D, S880D, J886D, S884D, J881D, A884D, E882D, A879D, U884D, A881D, A886D, J884D, S879D, E884D, J880D, A878D, J878D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
221570,Apple Cell Phones - iPhone 15 Plus - 129 Units - Grade C(T) - CT0074995A,"$45,458",3 bidders,"Feb 27, 2025 10:46:50 AM PDT",129.0,352.39,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_304.jpg,CT0074995A,Grade C(T),"IPH 15PL, APL IPH 15PL","512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","S878D, A879D, J885D, S891D, J889D, J879D, 6879D, J883D, J881D, J892D, J878D, J884D, J891D, A878D, J886D, A884D, J888D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
220620,Apple Cell Phones - iPhone 15 Plus - 23 Units - Grade B+(T) - CT0074751A,"$11,105",7 bidders,"Feb 20, 2025 10:55:03 AM PDT",23.0,482.83,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_297.jpg,CT0074751A,Grade B+(T),"IPH 15PL, APL IPH 15PL, IPH 15PL 128GB","512GB, 256GB, 128GB","BLU, BLK, GRN, PNK","E879D, A879D, S891D, J879D, A889D, A882D, J883D, J881D, J884D, J882D, A883D, A878D, J886D, A884D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
221626,Apple Cell Phones - iPhone 15 Plus - 46 Units - Grade B+(T) - CT0075064A,"$22,210",7 bidders,"Feb 27, 2025 10:13:17 AM PDT",46.0,482.83,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_305.jpg,CT0075064A,Grade B+(T),"IPH 15PL, IPH 15PL 128GB","512GB, 256GB, 128GB","BLK, YEL, PNK, BLU, GRN","A879D, S883D, J885D, J886D, A881D, A886D, A889D, J883D, A882D, J892D, J884D, J882D, A878D, A884D, A883D, S884D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
220758,Apple Cell Phones - iPhone 15 Plus - 173 Units - Grade C(T) - CT0074579A,"$57,775",3 bidders,"Feb 20, 2025 10:26:22 AM PDT",173.0,333.96,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_298.jpg,CT0074579A,Grade C(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","J889D, J883D, S878D, J890D, J886D, A888D, J885D, E883D, 6883D, E878D, J881D, A884D, A879D, A881D, J884D, J888D, J879D, E889D, A878D, J878D, J887D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
221651,Apple Cell Phones - iPhone 15 Plus - 18 Units - Grade A+(T) - CT0075145A,"$9,400",3 bidders,"Feb 26, 2025 11:03:24 AM PDT",18.0,522.22,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_305.jpg,CT0075145A,Grade A+(T),"IPH 15PL, APL IPH 15PL, IPH 15PL 128GB, PH 15PL","512GB, 256GB, 128GB","BLU, BLK, GRN, PNK","A892D, S891D, S886D, J889D, A881D, J879D, A889D, A882D, J883D, J884D, A878D, A884D, J886D, S884D, J888D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
