listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190097,Apple Cell Phones - iPhone 15 Pro Max - 50 Units - Grade B+(T) - AT034417,"$48,088",4 bidders,"Apr 2, 2024 9:22:44 AM PDT",50.0,961.76,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_103.jpg,AT034417,Grade B+(T),IPH 15PM,"512GB, 256GB","black, Titanium","U909D, U911D, U910D, A916D, U914D, A911D, U915D, U916D, U913D, U912D, J911D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
190154,Apple Cell Phones - iPhone 15 Pro Max - 62 Units - Grade A+(T) - CT0058778A,"$59,500",8 bidders,"Apr 4, 2024 9:49:07 AM PDT",62.0,959.68,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_104.jpg,CT0058778A,Grade A+(T),IPH 15PM,"512GB, 256GB, 1TB","BLU, NAT, WHT, BLK","A913D, U911D, S909D, U916D, U909D, J914D, U913D, J909D, U920D, J918D, U910D, J920D, A911D, S920D, J912D, J911D, J913D, A916D, A920D, A914D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
190380,Apple Cell Phones - iPhone 15 Pro Max - 16 Units - Grade B+(T) - CT0058938A,"$15,450",5 bidders,"Apr 4, 2024 9:48:36 AM PDT",16.0,965.62,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_106.jpg,CT0058938A,Grade B+(T),IPH 15PM,"512GB, 256GB, 1TB","BLU, NAT, WHT, BLK","J913D, J916D, J917D, J919D, U917D, U914D, U915D, J914D, U912D, J911D, U920D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
190473,Apple Cell Phones - iPhone 15 Pro Max - 33 Units - Grade AA+(T) - CT0058837A,"$32,030",9 bidders,"Apr 4, 2024 9:52:30 AM PDT",33.0,970.61,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_107.jpg,CT0058837A,Grade AA+(T),IPH 15PM,"512GB, 256GB, 1TB","BLU, NAT, WHT, BLK","J913D, A912D, J910D, U909D, J916D, J912D, U911D, J919D, U910D, A916D, U914D, U912D, J915D, J909D, J911D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
190582,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 25 Units - Grade A+(T) - AT034790","$26,050",6 bidders,"Apr 9, 2024 9:56:21 AM PDT",25.0,1042.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_109.jpg,AT034790,Grade A+(T),IPH 15PM,512GB,"black, Titanium","U913D, U915D, U914D, U916D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
190970,Apple Cell Phones - iPhone 15 Pro Max - 31 Units - Grade A+(T) - CT0059200A,"$28,800",7 bidders,"Apr 11, 2024 9:53:33 AM PDT",31.0,929.03,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_112.jpg,CT0059200A,Grade A+(T),IPH 15PM,"512GB, 256GB","BLU, NAT, WHT, BLK","J913D, U909D, J912D, U911D, A915D, U910D, U914D, J915D, U912D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
191377,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 50 Units - Grade A+(T) - AT034920","$53,856",8 bidders,"Apr 16, 2024 10:24:49 AM PDT",50.0,1077.12,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_113.jpg,AT034920,Grade A+(T),IPH 15PM,512GB,"black, Titanium","A913D, A915D, U914D, U915D, J915D, U916D, U913D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
191015,Apple Cell Phones - iPhone 15 Pro Max - 27 Units - Grade B+(T) - CT0059214A,"$24,701",5 bidders,"Apr 11, 2024 9:34:58 AM PDT",27.0,914.85,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_112.jpg,CT0059214A,Grade B+(T),IPH 15PM,"512GB, 256GB, 1TB","BLU, NAT, WHT, BLK","J913D, J916D, J917D, J918D, U911D, A915D, A916D, J920D, U915D, J915D, U916D, J911D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
191523,Apple Cell Phones - iPhone 15 Pro Max - 46 Units - Grade A+(T) - CT0059527A,"$44,003",9 bidders,"Apr 18, 2024 10:50:49 AM PDT",46.0,956.59,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_115.jpg,CT0059527A,Grade A+(T),IPH 15PM,"512GB, 256GB, 1TB","BLU, NAT, WHT, BLK","J913D, A918D, J917D, U911D, J919D, U910D, A915D, U914D, J920D, A911D, U915D, J915D, A914D, U912D, J911D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
191045,Apple Cell Phones - iPhone 15 Pro Max - 17 Units - Grade AA+(T) - CT0059289A,"$16,201",6 bidders,"Apr 11, 2024 9:40:10 AM PDT",17.0,953.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_112.jpg,CT0059289A,Grade AA+(T),IPH 15PM,"512GB, 256GB, 1TB","BLU, NAT, WHT, BLK","J913D, J912D, U911D, A915D, U910D, A911D, J909D, U916D, A910D, U913D, U912D, U920D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
