listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190297,Apple Cell Phones - iPhone SE (2022) - 23 Units - Grade A+(T) - CT0058897A,"$3,728",8 bidders,"Apr 4, 2024 9:49:37 AM PDT",23.0,162.09,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_496.jpg,CT0058897A,Grade A+(T),IPH SE22,"64GB, 128GB","STL, RED, MDN","J371D, A370D, S370D, J389D, J373D, J370D, A371D, J372D, A372D, S373D",Iphone Se,64GB,Iphone Se 64GB
190930,Apple Cell Phones - iPhone SE (2022) - 37 Units - Grade A+(T) - CT0059180A,"$6,025",8 bidders,"Apr 11, 2024 10:26:57 AM PDT",37.0,162.84,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_501.jpg,CT0059180A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, A370D, S370D, S372D, J373D, J370D, E372D, J377D, U372D, E370D",Iphone Se,64GB,Iphone Se 64GB
214227,Apple Cell Phones - iPhone SE (2022) - 51 Units - Grade A+(T) - CT0071557A,"$7,426",8 bidders,"Dec 12, 2024 10:23:40 AM PDT",51.0,145.61,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_676.jpg,CT0071557A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, A378D, A370D, S370D, J373D, J370D, A371D, J372D, P372D, E371D, J376D, A372D",Iphone Se,64GB,Iphone Se 64GB
220581,Apple Cell Phones - iPhone SE (2022) - 25 Units - Grade A+(T) - CT0074735A,"$3,161",4 bidders,"Feb 20, 2025 12:03:13 PM PDT",25.0,126.44,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_730.jpg,CT0074735A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","U370D, J371D, J374D, A370D, S370D, A377D, J370D, P372D, E371D, J376D",Iphone Se,64GB,Iphone Se 64GB
191892,Apple Cell Phones - iPhone SE (2022) - 49 Units - Grade A+(T) - CT0059516A,"$8,150",5 bidders,"Apr 18, 2024 10:02:26 AM PDT",49.0,166.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_506.jpg,CT0059516A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","RED, MDN","A370D, S370D, S372D, J373D, J370D, J372D, J376D, E370D, S373D",Iphone Se,64GB,Iphone Se 64GB
193119,Apple Cell Phones - iPhone SE (2022) - 23 Units - Grade A+(T) - CT0060362A,"$3,725",6 bidders,"May 2, 2024 10:13:20 AM PDT",23.0,161.96,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_515.jpg,CT0060362A,Grade A+(T),"APL IPH SE22, IPH SE22","64GB, 128GB","STL, RED, MDN","J371D, A370D, S370D, S372D, J373D, J370D, J372D, U374D, U372D, A372D, S373D",Iphone Se,64GB,Iphone Se 64GB
201931,Apple Cell Phones - iPhone SE (2022) - 64 Units - Grade A+(T) - CT0065012A,"$12,768",6 bidders,"Aug 8, 2024 9:53:18 AM PDT",64.0,199.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_580.jpg,CT0065012A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, A370D, S370D, J373D, J370D, U378D, J372D, J377D, A371D, U373D, S374D, U372D, E370D, J375D, A372D",Iphone Se,64GB,Iphone Se 64GB
202486,Apple Cell Phones - iPhone SE (2022) - 25 Units - Grade A+(T) - CT0065514A,"$4,250",7 bidders,"Aug 14, 2024 9:32:23 AM PDT",25.0,170.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_584.jpg,CT0065514A,Grade A+(T),"IPH SE22, SE2","64GB, 128GB","RED, MDN","A370D, J373D, J370D, J372D, U373D, J391D, U372D, A372D",Iphone Se,64GB,Iphone Se 64GB
220141,Apple Cell Phones - iPhone SE (2022) - 25 Units - Grade A+(T) - CT0074343A,"$2,825",6 bidders,"Feb 13, 2025 11:00:48 AM PDT",25.0,113.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_728.jpg,CT0074343A,Grade A+(T),IPH SE22,"64GB, 128GB","STL, RED, MDN","J371D, J374D, A370D, S370D, J370D, A371D, J372D, A372D",Iphone Se,64GB,Iphone Se 64GB
225562,Apple Cell Phones - iPhone SE (2022) - 25 Units - Grade A+(T) - CT0077102A,"$3,512",4 bidders,"Apr 10, 2025 10:46:58 AM PDT",25.0,140.48,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_770.jpg,CT0077102A,Grade A+(T),IPH SE22,"64GB, 128GB","STL, MDN","J371D, J374D, A370D, J373D, J370D, A371D, E371D, E370D",Iphone Se,64GB,Iphone Se 64GB
198088,Apple Cell Phones - iPhone SE (2022) - 50 Units - Grade A+(T) - CT0062670A,"$8,040",7 bidders,"Jun 21, 2024 9:56:36 AM PDT",50.0,160.8,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_551.jpg,CT0062670A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, A370D, S370D, S372D, J370D, J376D, J372D, U372D, E370D, A372D, S373D",Iphone Se,64GB,Iphone Se 64GB
208155,Apple Cell Phones - iPhone SE (2022) - 25 Units - Grade A+(T) - CT0068404A,"$3,926",8 bidders,"Oct 10, 2024 10:06:49 AM PDT",25.0,157.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_628.jpg,CT0068404A,Grade A+(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, A377D, J373D, J370D, J376D, J375D, A372D, S373D",Iphone Se,64GB,Iphone Se 64GB
223502,Apple Cell Phones - iPhone SE (2022) - 33 Units - Grade A+(T) - CT0076100A,"$4,626",9 bidders,"Mar 20, 2025 11:39:20 AM PDT",33.0,140.18,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_754.jpg,CT0076100A,Grade A+(T),"IPH SE22, SE2","64GB, 256GB, 128GB","STL, RED, MDN","J371D, J374D, T370D1DK, A378D, A370D, J373D, J370D, E377D, J372D, J391D, U371D, J375D, A372D",Iphone Se,64GB,Iphone Se 64GB
