listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190693,Apple Cell Phones - iPhone 12 Mini - 50 Units - Grade A+(T) - AT034678,"$10,451",3 bidders,"Apr 9, 2024 10:33:31 AM PDT",50.0,209.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1619.jpg,AT034678,Grade A+(T),IPH 12M,"64GB, 128GB","black, blue, purple, red, green, white","A886C, J890C, A885C, J885C, T885C, A892C, A889C, A887C, D009D, A009D, A010D, A891C, J899C, A890C, S888C, A894C, T890C, A888C, A893C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
191450,"Apple Cell Phones - iPhone 12 Mini, 64GB - 25 Units - Grade A+(T) - AT035043","$4,576",5 bidders,"Apr 16, 2024 10:47:51 AM PDT",25.0,183.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1626.jpg,AT035043,Grade A+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","A009D, A889C, A886C, A885C, A888C, A887C, J886C, S888C, U886C, T885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
205682,Apple Cell Phones - iPhone 12 Mini - 22 Units - Grade A+(T) - CT0067008A,"$4,026",6 bidders,"Sep 12, 2024 10:05:17 AM PDT",22.0,183.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1746.jpg,CT0067008A,Grade A+(T),IPH 12M,"64GB, 256GB, 128GB","PUR, BLK, BLU, GRN, WHT","J889C, A009D, E009D, S886C, J890C, A891C, J009D, J893C, J885C, J895C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
220626,Apple Cell Phones - iPhone 12 Mini - 15 Units - Grade A+(T) - CT0074791A,"$2,525",4 bidders,"Feb 20, 2025 10:00:34 AM PDT",15.0,168.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1853.jpg,CT0074791A,Grade A+(T),IPH 12M,"64GB, 256GB, 128GB","BLU, PUR, WHT, BLK","J010D, E888C, A886C, A891C, J890C, A888C, S885C, A885C, A893C, J009D, J895C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
192721,"Apple Cell Phones - iPhone 12 Mini, 64GB - 25 Units - Grade A+(T) - AT035512","$4,276",5 bidders,"Apr 30, 2024 9:36:11 AM PDT",25.0,171.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1638.jpg,AT035512,Grade A+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","A009D, A889C, S887C, A886C, S885C, S009D, A888C, A885C, A887C, D009D, T885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
194651,Apple Cell Phones - iPhone 12 Mini - 50 Units - Grade A+(T) - AT036470,"$9,501",5 bidders,"May 21, 2024 10:37:54 AM PDT",50.0,190.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1655.jpg,AT036470,Grade A+(T),IPH 12M,"64GB, 128GB","black, blue, purple, red, green, white","S010D, A886C, S892C, U888C, A885C, J885C, A892C, E009D, A889C, A887C, A009D, A891C, A890C, A894C, S891C, S885C, A888C, A893C, S893C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
200898,Apple Cell Phones - iPhone 12 Mini - 27 Units - Grade A+(T) - AT038818,"$5,025",5 bidders,"Jul 30, 2024 9:49:01 AM PDT",27.0,186.11,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1705.jpg,AT038818,Grade A+(T),IPH 12M,"64GB, 256GB","black, blue, purple, green, white","A895C, A009D, A889C, A886C, S885C, A011D, A885C, A888C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
225748,Apple Cell Phones - iPhone 12 Mini - 24 Units - Grade A+(T) - CT0077116A,"$4,030",7 bidders,"Apr 10, 2025 7:22:30 AM PDT",24.0,167.92,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1887.jpg,CT0077116A,Grade A+(T),IPH 12M,"64GB, 256GB, 128GB","PUR, BLK, RED, BLU, GRN, WHT","A895C, A892C, E891C, J010D, A009D, E888C, S895C, A010D, J890C, A885C, A890C, E893C, J009D, J886C, J893C, A894C, J885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
192022,"Apple Cell Phones - iPhone 12 Mini, 64GB - 25 Units - Grade A+(T) - AT035312","$4,450",7 bidders,"Apr 23, 2024 9:01:22 AM PDT",25.0,178.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1631.jpg,AT035312,Grade A+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","J889C, A009D, A889C, A886C, A888C, A885C, A887C, D009D, J885C, T885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
192491,Apple Cell Phones - iPhone 12 Mini - 26 Units - Grade A+(T) - CT0059973A,"$4,668",7 bidders,"Apr 25, 2024 11:05:27 AM PDT",26.0,179.54,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1635.jpg,CT0059973A,Grade A+(T),IPH 12M,"64GB, 128GB","PUR, BLK, RED, BLU, GRN, WHT","E891C, J891C, A886C, A010D, J890C, A891C, J892C, A888C, A890C, A893C, J893C, A894C, J894C, S893C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
