listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
212770,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 50 Units - Grade A+(T) - AT044141","$29,800",5 bidders,"Nov 26, 2024 10:18:14 AM PDT",50.0,596.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_935.jpg,AT044141,Grade A+(T),IPH 14PM,1TB,"Purple, Black, Silver, Gold","A542D, A539D, E539D, S542D, A540D, S539D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
220941,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 60 Units - Grade A+(T) - CT0074549A","$35,680",2 bidders,"Feb 20, 2025 10:32:51 AM PDT",60.0,594.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_1021.jpg,CT0074549A,Grade A+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J540D, S540D, J539D, A540D, S539D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
201342,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 16 Units - Grade A+(T) - CT0064824A","$13,350",6 bidders,"Aug 1, 2024 9:40:15 AM PDT",16.0,834.38,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_817.jpg,CT0064824A,Grade A+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J540D, J541D, J539D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
209140,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 22 Units - Grade A+(T) - AT042402","$14,552",5 bidders,"Oct 22, 2024 10:08:02 AM PDT",22.0,661.45,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_898.jpg,AT042402,Grade A+(T),IPH 14PM,1TB,"Purple, Black, Silver, Gold","A542D, A539D, E539D, S542D, E542D, A540D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
209791,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 101 Units - Grade A+(T) - CT0068894A","$63,800",3 bidders,"Oct 24, 2024 10:03:17 AM PDT",101.0,631.68,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_904.jpg,CT0068894A,Grade A+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, E541D, J540D, J541D, E539D, J539D, E542D, A540D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
211935,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 25 Units - Grade A+(T) - AT043776","$15,525",5 bidders,"Nov 18, 2024 3:57:11 PM PDT",25.0,621.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_927.jpg,AT043776,Grade A+(T),IPH 14PM,1TB,"Purple, Black, Gold","A542D, A539D, U542D, S539D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
213394,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 25 Units - Grade A+(T) - AT044315","$15,225",7 bidders,"Dec 3, 2024 10:34:59 AM PDT",25.0,609.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_941.jpg,AT044315,Grade A+(T),IPH 14PM,1TB,"Purple, Black, Silver, Gold","A541D, A542D, A539D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
216371,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 36 Units - Grade A+(T) - CT0072399A","$20,700",7 bidders,"Jan 2, 2025 10:41:27 AM PDT",36.0,575.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_971.jpg,CT0072399A,Grade A+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J540D, J541D, E539D, J539D, E542D, A540D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
191987,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 25 Units - Grade A+(T) - AT035380","$21,150",4 bidders,"Apr 23, 2024 8:35:03 AM PDT",25.0,846.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_718.jpg,AT035380,Grade A+(T),IPH 14PM,1TB,"Purple, Black, Silver","A542D, A539D, U539D, T542D, T539D, U542D, S542D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
213041,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 136 Units - Grade A+(T) - CT0070737A","$81,879",7 bidders,"Nov 27, 2024 10:29:06 AM PDT",136.0,602.05,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_938.jpg,CT0070737A,Grade A+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J541D, E539D, J539D, E542D, A540D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
