listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190150,Apple Cell Phones - iPhone 15 Pro - 60 Units - Grade A+(T) - CT0058782A,"$46,225",6 bidders,"Apr 4, 2024 10:13:35 AM PDT",60.0,770.42,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_105.jpg,CT0058782A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","BLU, NAT, WHT, BLK","U894D, A895D, J900D, U904D, J908D, A896D, J895D, U897D, J904D, A907D, A901D, J905D, J897D, J894D, U905D, A908D, U900D, U895D, J896D, U893D, U898D, U896D, U906D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
190563,Apple Cell Phones - iPhone 15 Pro - 75 Units - Grade A+(T) - AT034621,"$62,625",5 bidders,"Apr 9, 2024 9:55:52 AM PDT",75.0,835.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_107.jpg,AT034621,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB","black, blue, Blue, Black, Titanium","U900D, U894D, T897D, A900D, A897D, U904D, U901D, U893D, U898D, U902D, U896D, U897D, U899D, U903D, U895D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
190810,Apple Cell Phones - iPhone 15 Pro - 35 Units - Grade A+(T) - CT0059190A,"$28,400",10 bidders,"Apr 11, 2024 10:38:53 AM PDT",35.0,811.43,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_109.jpg,CT0059190A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB","BLU, NAT, WHT, BLK","U900D, U894D, U893D, U898D, U896D, A901D, U895D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
199452,Apple Cell Phones - iPhone 15 Pro - 75 Units - Grade A+(T) - AT038310,"$58,600",6 bidders,"Jul 9, 2024 9:48:02 AM PDT",75.0,781.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_173.jpg,AT038310,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB","black, blue, Blue, Natural, white, Titanium","U900D, U894D, A900D, A895D, U904D, U901D, U893D, U898D, U896D, U902D, A894D, U897D, U899D, U903D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
220885,Apple Cell Phones - iPhone 15 Pro - 16 Units - Grade A+(T) - CT0074783A,"$10,175",3 bidders,"Feb 20, 2025 10:28:11 AM PDT",16.0,635.94,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_355.jpg,CT0074783A,Grade A+(T),"IPH 15P, APL IPH 15P","512GB, 256GB, 128GB, 1TB","BLU, NAT, WHT, BLK","J893D, A899D, J900D, A905D, A903D, A901D, A902D, J901D, J894D, J904D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
228663,Apple Cell Phones - iPhone 15 Pro - 94 Units - Grade A+(T) - CT0078422A,"$60,051",5 bidders,"May 15, 2025 10:14:24 AM PDT",94.0,638.84,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_420.jpg,CT0078422A,Grade A+(T),"IPH 15P, APL IPH 15P","512GB, 128GB, 1TB","BLU, NAT, WHT, BLK","E901D, A895D, A903D, S893D, A896D, J895D, J904D, A907D, A901D, A904D, J894D, U905D, J903D, E904D, A894D, J902D, J893D, J896D, A902D, A893D, A906D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
228797,Apple Cell Phones - iPhone 15 Pro - 50 Units - Grade A+(T) - AT051803,"$32,503",7 bidders,"May 20, 2025 5:24:58 AM PDT",50.0,650.06,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_422.jpg,AT051803,Grade A+(T),IPH 15P,"512GB, 128GB","black, blue, Blue, Natural, Black, white, Titanium","A895D, S901D, D896D, A903D, A901D, A902D, A893D, A904D, A896D, U896D, A894D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
191887,Apple Cell Phones - iPhone 15 Pro - 47 Units - Grade A+(T) - CT0059525A,"$36,900",8 bidders,"Apr 18, 2024 10:31:40 AM PDT",47.0,785.11,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_116.jpg,CT0059525A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","BLU, NAT, WHT, BLK","U900D, A908D, U893D, U898D, A902D, A894D, A904D, J905D, J895D, J903D, U905D, U906D, U899D, U895D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
193564,"Apple Cell Phones - iPhone 15 Pro, 512GB - 25 Units - Grade A+(T) - AT035791","$22,951",5 bidders,"May 7, 2024 10:04:14 AM PDT",25.0,918.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_129.jpg,AT035791,Grade A+(T),IPH 15P,512GB,"blue, Titanium","U904D, U901D, U902D, A904D, U903D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
201997,Apple Cell Phones - iPhone 15 Pro - 46 Units - Grade A+(T) - CT0065047A,"$37,115",8 bidders,"Aug 8, 2024 10:08:28 AM PDT",46.0,806.85,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_194.jpg,CT0065047A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","BLU, NAT, WHT, BLK","U894D, A899D, J900D, J906D, J908D, J898D, U897D, U899D, J904D, A900D, J899D, J897D, U905D, J901D, J903D, A897D, U895D, U900D, U898D, U896D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
208620,Apple Cell Phones - iPhone 15 Pro - 66 Units - Grade A+(T) - AT042054,"$48,601",5 bidders,"Oct 15, 2024 10:23:58 AM PDT",66.0,736.38,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_248.jpg,AT042054,Grade A+(T),IPH 15P,", 512GB, 128GB, 1TB","black, , blue, Blue, Natural, Black, white, Titanium","P906D, A895D, U907D, A903D, A896D, U908D, E895D, E896D, P904D, A907D, A901D, J905D, A904D, U905D, P905D, P894D, U901D, U902D, P901D, A894D, U903D, U895D, A908D, U893D, A902D, E893D, A893D, U896D, U906D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
213954,Apple Cell Phones - iPhone 15 Pro - 45 Units - Grade A+(T) - AT044634,"$28,795",7 bidders,"Dec 10, 2024 10:50:45 AM PDT",45.0,639.89,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_294.jpg,AT044634,Grade A+(T),IPH 15P,"512GB, 128GB","black, blue, Blue, Natural, Black, white, Titanium","A895D, E903D, U904D, D896D, U901D, A903D, A901D, A902D, A893D, A896D, S895D, A894D, U903D, P895D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
222393,Apple Cell Phones - iPhone 15 Pro - 23 Units - Grade A+(T) - CT0075449A,"$14,050",6 bidders,"Mar 6, 2025 10:28:53 AM PDT",23.0,610.87,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_368.jpg,CT0075449A,Grade A+(T),"IPH 15P, APL IPH 15P","512GB, 256GB, 1TB","BLU, NAT, WHT, BLK","J907D, A899D, J900D, J906D, J908D, A907D, A901D, J897D, E908D, A906D, A908D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
192026,"Apple Cell Phones - iPhone 15 Pro, 512GB - 25 Units - Grade A+(T) - AT035285","$23,460",7 bidders,"Apr 23, 2024 10:02:27 AM PDT",25.0,938.4,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_117.jpg,AT035285,Grade A+(T),IPH 15P,512GB,"blue, Titanium","U904D, U901D, A903D, U902D, U903D, J904D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
192502,Apple Cell Phones - iPhone 15 Pro - 75 Units - Grade A+(T) - CT0059867A,"$59,375",6 bidders,"Apr 25, 2024 9:50:59 AM PDT",75.0,791.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_122.jpg,CT0059867A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","BLU, NAT, WHT, BLK","U900D, U894D, A899D, J896D, A895D, E903D, U904D, J908D, J903D, J899D, U896D, J905D, J901D, A894D, J895D, U899D, U895D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
196940,Apple Cell Phones - iPhone 15 Pro - 55 Units - Grade A+(T) - CT0062300A,"$43,500",8 bidders,"Jun 13, 2024 9:37:42 AM PDT",55.0,790.91,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_154.jpg,CT0062300A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","BLU, NAT, BLK","J893D, A897D, J900D, A903D, U893D, J903D, A907D, J904D, J899D, J905D, U896D, J901D, J897D, A893D, J895D, U897D, U899D, U895D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
199176,Apple Cell Phones - iPhone 15 Pro - 35 Units - Grade A+(T) - CT0063399A,"$26,899",6 bidders,"Jul 3, 2024 9:31:30 AM PDT",35.0,768.54,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_171.jpg,CT0063399A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB","BLU, NAT, WHT, BLK","U900D, U894D, A899D, J902D, J900D, J896D, U893D, J899D, U896D, J898D, J897D, J901D, J895D, U899D, J904D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
200114,Apple Cell Phones - iPhone 15 Pro - 112 Units - Grade A+(T) - CT0063934A,"$86,180",6 bidders,"Jul 18, 2024 9:42:28 AM PDT",112.0,769.46,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_178.jpg,CT0063934A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB","BLU, NAT, WHT, BLK","U894D, J900D, U904D, J898D, U897D, U899D, J904D, A900D, J897D, J901D, A897D, U895D, U900D, J902D, J893D, J896D, U893D, U898D, U896D, A893D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
204153,Apple Cell Phones - iPhone 15 Pro - 31 Units - Grade A+(T) - CT0066301A,"$22,100",3 bidders,"Aug 27, 2024 4:29:45 PM PDT",31.0,712.9,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_212.jpg,CT0066301A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","BLU, NAT, WHT, BLK","U894D, A903D, J908D, U901D, J899D, J895D, U906D, U899D, U895D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
207284,Apple Cell Phones - iPhone 15 Pro - 41 Units - Grade A+(T) - AT041518,"$31,201",7 bidders,"Oct 1, 2024 9:52:38 AM PDT",41.0,761.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_237.jpg,AT041518,Grade A+(T),IPH 15P,"512GB, 128GB","black, blue, Blue, Natural, Black, white, Titanium","U894D, A895D, P894D, U904D, U901D, S902D, U893D, P904D, U902D, U896D, A893D, A896D, P896D, P893D, P901D, U903D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
207902,Apple Cell Phones - iPhone 15 Pro - 68 Units - Grade A+(T) - AT041731,"$55,510",9 bidders,"Oct 8, 2024 10:01:30 AM PDT",68.0,816.32,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_242.jpg,AT041731,Grade A+(T),IPH 15P,"512GB, 256GB, 1TB","black, blue, Black, white, Titanium","P906D, A899D, U907D, U904D, A903D, U897D, U908D, U899D, P904D, A901D, U905D, P905D, P908D, P897D, U901D, U902D, A897D, P903D, P901D, P900D, U903D, U900D, P907D, A902D, U906D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
208772,Apple Cell Phones - iPhone 15 Pro - 70 Units - Grade A+(T) - CT0068632A,"$46,751",3 bidders,"Oct 17, 2024 9:55:16 AM PDT",70.0,667.87,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_249.jpg,CT0068632A,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","BLU, NAT, WHT, BLK","J907D, A899D, A895D, J900D, J906D, A903D, A898D, J898D, A896D, J895D, U897D, U908D, J904D, A900D, J899D, A901D, A904D, J897D, U905D, P895D, S901D, J901D, A897D, A894D, J902D, J893D, J896D, A905D, U898D, A902D, A893D, P893D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
210784,Apple Cell Phones - iPhone 15 Pro - 70 Units - Grade A+(T) - AT043124,"$45,000",7 bidders,"Nov 5, 2024 10:04:13 AM PDT",70.0,642.86,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_268.jpg,AT043124,Grade A+(T),IPH 15P,"512GB, 128GB","black, blue, Blue, Natural, Black, white, Titanium","E901D, A895D, E903D, P902D, A903D, S893D, A896D, D896D, A901D, A904D, U901D, P901D, A894D, U903D, U895D, J896D, U893D, A902D, A893D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
222611,Apple Cell Phones - iPhone 15 Pro - 86 Units - Grade A+(T) - AT048900,"$56,350",3 bidders,"Mar 11, 2025 10:42:13 AM PDT",86.0,655.23,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_370.jpg,AT048900,Grade A+(T),IPH 15P,"512GB, 256GB, 128GB, 1TB","black, blue, White, Blue, Natural, Black, white, Titanium","U894D, A899D, A895D, U904D, A903D, A898D, S893D, A896D, E900D, U908D, E895D, E897D, A900D, D896D, E896D, S904D, A901D, A904D, J894D, U905D, S894D, U901D, E899D, A897D, A894D, U903D, A908D, J896D, A905D, U893D, A902D, A893D, A906D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
223704,Apple Cell Phones - iPhone 15 Pro - 17 Units - Grade A+(T) - CT0076189A,"$11,350",6 bidders,"Mar 20, 2025 10:26:05 AM PDT",17.0,667.65,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15pro_382.jpg,CT0076189A,Grade A+(T),"IPH 15P, APL IPH 15P","512GB, 128GB, 1TB","BLU, NAT, WHT, BLK","E901D, J907D, J893D, A895D, A903D, A901D, A904D, J901D, J895D, J894D, P903D, E906D, A908D",iPhone 15 Pro,512GB,iPhone 15 Pro 512GB
