listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
213505,"Apple Cell Phones - iPhone 16, 128GB - 200 Units - Grade A+(T) - AT044213","$131,000",5 bidders,"Dec 3, 2024 11:14:40 AM PDT",200.0,655.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16_12.jpg,AT044213,Grade A+(T),IPH 16,128GB,"black, Pink, blue, Green, white","U584E, U588E, P586E, P584E, U585E, U586E, P587E, P588E, U587E",iPhone 16,128GB,iPhone 16 128GB
213856,"Apple Cell Phones - iPhone 16, 128GB - 75 Units - Grade A+(T) - AT044530","$45,825",5 bidders,"Dec 10, 2024 10:52:43 AM PDT",75.0,611.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16_14.jpg,AT044530,Grade A+(T),IPH 16,128GB,"black, Pink, blue, Green, white","U584E, U588E, A584E, P586E, P584E, U585E, A587E, U586E, D587E, A585E, P587E, P588E, U587E",iPhone 16,128GB,iPhone 16 128GB
228410,"Apple Cell Phones - iPhone 16e, 128GB - 125 Units - Grade A+(T) - AT051567","$60,501",4 bidders,"May 13, 2025 10:21:56 AM PDT",125.0,484.01,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16e_11.jpg,AT051567,Grade A+(T),IPH 16E,128GB,"black, white","U867E, U866E",iPhone 16,128GB,iPhone 16 128GB
227914,"Apple Cell Phones - iPhone 16e, 128GB - 50 Units - Grade A+(T) - AT051309","$23,801",6 bidders,"May 6, 2025 10:19:33 AM PDT",50.0,476.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16e_7.jpg,AT051309,Grade A+(T),IPH 16E,128GB,"black, white","U867E, U866E",iPhone 16,128GB,iPhone 16 128GB
228812,"Apple Cell Phones - iPhone 16e, 128GB - 200 Units - Grade A+(T) - AT051749","$99,290",4 bidders,"May 20, 2025 10:54:49 AM PDT",200.0,496.45,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16e_13.jpg,AT051749,Grade A+(T),IPH 16E,128GB,"black, white","U867E, A866E, U866E",iPhone 16,128GB,iPhone 16 128GB
228836,"Apple Cell Phones - iPhone 16, 128GB - 50 Units - Grade A+(T) - AT051783","$31,500",7 bidders,"May 20, 2025 10:07:12 AM PDT",50.0,630.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16_109.jpg,AT051783,Grade A+(T),IPH 16,128GB,"black, Pink, blue, Green, white","U584E, U588E, A584E, U585E, U586E, A588E, P588E, U587E",iPhone 16,128GB,iPhone 16 128GB
215614,"Apple Cell Phones - iPhone 16, 128GB - 175 Units - Grade A+(T) - AT043860","$103,002",4 bidders,"Dec 24, 2024 10:47:02 AM PDT",175.0,588.58,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16_25.jpg,AT043860,Grade A+(T),IPH 16,128GB,"black, Pink, blue, teal, white","U584E, U588E, P586E, P584E, U585E, U586E, D587E, P587E, P588E, U587E",iPhone 16,128GB,iPhone 16 128GB
219771,"Apple Cell Phones - iPhone 16, 128GB - 275 Units - Grade A+(T) - AT047316","$154,059",12 bidders,"Feb 11, 2025 11:03:11 AM PDT",275.0,560.21,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16_54.jpg,AT047316,Grade A+(T),IPH 16,128GB,"black, Pink, blue, Green, white","U584E, U588E, A584E, P586E, A586E, P584E, U585E, A587E, U586E, A585E, P587E, P585E, P588E, U587E",iPhone 16,128GB,iPhone 16 128GB
220396,"Apple Cell Phones - iPhone 16, 128GB - 75 Units - Grade A+(T) - AT047641","$44,158",9 bidders,"Feb 18, 2025 10:11:28 AM PDT",75.0,588.77,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16_58.jpg,AT047641,Grade A+(T),IPH 16,128GB,"black, Pink, blue, Green, white","U584E, U588E, A584E, A586E, P584E, U585E, A587E, U586E, P587E, P588E, U587E",iPhone 16,128GB,iPhone 16 128GB
223292,"Apple Cell Phones - iPhone 16, 128GB - 50 Units - Grade A+(T) - AT049334","$30,250",5 bidders,"Mar 18, 2025 10:01:12 AM PDT",50.0,605.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16_77.jpg,AT049334,Grade A+(T),IPH 16,128GB,"black, Pink, blue, Green, white","U584E, U588E, P586E, A586E, U585E, A587E, U586E, P585E, P588E, U587E",iPhone 16,128GB,iPhone 16 128GB
