listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
213470,"Apple Cell Phones - iPhone 16 Plus, 256GB - 25 Units - Grade A+(T) - AT044350","$18,450",10 bidders,"Dec 3, 2024 11:19:08 AM PDT",25.0,738.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_6.jpg,AT044350,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue","P607E, U606E, P604E, U607E, U604E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
217869,"Apple Cell Phones - iPhone 16 Plus, 256GB - 21 Units - Grade A+(T) - AT046626","$15,555",8 bidders,"Jan 21, 2025 10:03:18 AM PDT",21.0,740.71,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_33.jpg,AT046626,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","A607E, U606E, P608E, U607E, A604E, P605E, U604E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
221309,"Apple Cell Phones - iPhone 16 Plus, 256GB - 50 Units - Grade A+(T) - AT048129","$33,101",2 bidders,"Feb 25, 2025 9:31:25 AM PDT",50.0,662.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_55.jpg,AT048129,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","U608E, U605E, U606E, U607E, J606E, A604E, U604E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
225179,Apple Cell Phones - iPhone 16 Plus - 50 Units - Grade A+(T) - AT050114,"$31,601",9 bidders,"Apr 8, 2025 10:09:48 AM PDT",50.0,632.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_82.jpg,AT050114,Grade A+(T),IPH 16PL,"256GB, 128GB","black, Pink, blue, Green, white","A603E, A602E, U608E, A607E, U600E, U606E, P606E, U603E, U601E, A601E, U607E, U602E, A604E, D601E, U599E, P602E, U604E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
227752,"Apple Cell Phones - iPhone 16 Plus, 256GB - 25 Units - Grade A+(T) - AT051323","$17,101",7 bidders,"May 6, 2025 9:51:20 AM PDT",25.0,684.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_100.jpg,AT051323,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","A608E, A607E, U605E, U606E, U607E, U604E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
229636,"Apple Cell Phones - iPhone 16 Plus, 256GB - 25 Units - Grade A+(T) - AT052256","$17,301",4 bidders,"May 27, 2025 10:07:40 AM PDT",25.0,692.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_113.jpg,AT052256,Grade A+(T),IPH 16PL,256GB,"black, Pink, Green, blue","A608E, A607E, U606E, U607E, A604E, U604E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
211413,Apple Cell Phones - iPhone 16 Plus - 49 Units - Grade A+(T) - AT043422,"$36,700",5 bidders,"Nov 12, 2024 10:34:02 AM PDT",49.0,748.98,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus.jpg,AT043422,Grade A+(T),IPH 16PL,"256GB, 128GB","black, Pink, blue, Green, white","P607E, P601E, U606E, U601E, U600E, U603E, P606E, U605E, P604E, U607E, U602E, U599E, U604E, P602E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
212719,"Apple Cell Phones - iPhone 16 Plus, 256GB - 25 Units - Grade A+(T) - AT044053","$17,800",4 bidders,"Nov 26, 2024 9:37:57 AM PDT",25.0,712.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_2.jpg,AT044053,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","U608E, U605E, U606E, P606E, P608E, U607E, U604E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
214551,"Apple Cell Phones - iPhone 16 Plus, 256GB - 50 Units - Grade A+(T) - AT045177","$36,860",8 bidders,"Dec 17, 2024 10:24:06 AM PDT",50.0,737.2,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_14.jpg,AT045177,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","U608E, U605E, U606E, P604E, U607E, U604E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
220483,"Apple Cell Phones - iPhone 16 Plus, 256GB - 25 Units - Grade A+(T) - AT047754","$18,100",8 bidders,"Feb 18, 2025 10:20:15 AM PDT",25.0,724.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_50.jpg,AT047754,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","U608E, U605E, U606E, J604E, P606E, P604E, U607E, U604E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
221776,Apple Cell Phones - iPhone 16 Plus - 17 Units - Grade A+(T) - CT0075151A,"$11,842",5 bidders,"Feb 27, 2025 10:11:03 AM PDT",17.0,696.59,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_58.jpg,CT0075151A,Grade A+(T),"IPH 16PL 256GB, IPH 16PL","256GB, 128GB","BLK, PNK, BLU, GRN, WHT","J600E, A599E, P601E, U600E, U603E, A601E, U607E, U604E, U602E, P605E, A603E, P602E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
222489,"Apple Cell Phones - iPhone 16 Plus, 256GB - 75 Units - Grade A+(T) - AT049010","$50,879",8 bidders,"Mar 11, 2025 10:49:50 AM PDT",75.0,678.39,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_64.jpg,AT049010,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","A607E, P607E, U608E, U605E, U606E, P606E, A605E, P604E, U607E, J606E, U604E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
223214,"Apple Cell Phones - iPhone 16 Plus, 256GB - 99 Units - Grade A+(T) - AT049159","$68,751",4 bidders,"Mar 18, 2025 10:38:19 AM PDT",99.0,694.45,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_69.jpg,AT049159,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","A607E, P607E, U608E, U605E, U606E, P606E, P608E, P604E, U607E, A604E, U604E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
226568,"Apple Cell Phones - iPhone 16 Plus, 256GB - 50 Units - Grade A+(T) - AT050655","$34,601",5 bidders,"Apr 22, 2025 11:10:02 AM PDT",50.0,692.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_91.jpg,AT050655,Grade A+(T),IPH 16PL,256GB,"black, Pink, blue, Green, white","A607E, U608E, U605E, U606E, U607E, A604E, U604E, A606E",iPhone 16 Plus,256GB,iPhone 16 Plus 256GB
