listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
199400,Apple Cell Phones - iPhone 12 Mini - 60 Units - Grade AA+(T) - AT038300,"$14,551",6 bidders,"Jul 9, 2024 10:15:41 AM PDT",60.0,242.52,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1693.jpg,AT038300,Grade AA+(T),IPH 12M,"64GB, 256GB, 128GB","black, blue, purple, red, green, white","S011D, A886C, J890C, A885C, A897C, T885C, A892C, S889C, S895C, A887C, T895C, A009D, A891C, A890C, E885C, T890C, A895C, A011D, A888C, S009D, A893C, S890C, J895C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
192743,"Apple Cell Phones - iPhone 12 Mini, 64GB - 25 Units - Grade AA+(T) - AT035553","$5,076",5 bidders,"Apr 30, 2024 9:26:59 AM PDT",25.0,203.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1638.jpg,AT035553,Grade AA+(T),IPH 12M,64GB,"black, red, white, purple","E886C, A009D, A886C, S009D, A885C, A887C, D009D, J885C, T885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
197381,"Apple Cell Phones - iPhone 12 Mini, 64GB - 17 Units - Grade AA+(T) - AT037579","$3,075",5 bidders,"Jun 18, 2024 2:09:39 AM PDT",17.0,180.88,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1675.jpg,AT037579,Grade AA+(T),IPH 12M,64GB,"black, red, purple, blue","A009D, S885C, A885C, A888C, A887C, E885C, J885C, T885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
211912,"Apple Cell Phones - iPhone 12 Mini, 64GB - 18 Units - Grade AA+(T) - AT043816","$3,180",5 bidders,"Nov 19, 2024 10:48:16 AM PDT",18.0,176.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1790.jpg,AT043816,Grade AA+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","A009D, D885C, A889C, A886C, A888C, A887C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
221111,"Apple Cell Phones - iPhone 12 Mini, 64GB - 10 Units - Grade AA+(T) - AT048077","$1,530",4 bidders,"Feb 25, 2025 11:19:15 AM PDT",10.0,153.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1855.jpg,AT048077,Grade AA+(T),IPH 12M,64GB,"black, blue, purple, red, white","A009D, A886C, U888C, A885C, T886C, A887C, P019D",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
190868,Apple Cell Phones - iPhone 12 Mini - 17 Units - Grade AA+(T) - CT0059290A,"$3,000",5 bidders,"Apr 11, 2024 10:31:23 AM PDT",17.0,176.47,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1621.jpg,CT0059290A,Grade AA+(T),"APL IPH 12M, IPH 12M","64GB, 256GB, 128GB","PUR, BLK, RED, BLU, GRN, WHT","J887C, J896C, J890C, A888C, A887C, A893C, J886C, A894C, J885C, E010D, J895C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
195500,Apple Cell Phones - iPhone 12 Mini - 41 Units - Grade AA+(T) - AT036680,"$8,351",4 bidders,"May 28, 2024 10:01:41 AM PDT",41.0,203.68,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1661.jpg,AT036680,Grade AA+(T),IPH 12M,"64GB, 128GB","black, blue, purple, red, green, white","S010D, A886C, J890C, A885C, J885C, T885C, E886C, A889C, A887C, A009D, S886C, A010D, A890C, A894C, S891C, T890C, S885C, S009D, A893C, S893C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
214725,"Apple Cell Phones - iPhone 12 Mini, 64GB - 1 Unit - Grade AA+(T) - AF045191",$215,2 bidders,"Dec 17, 2024 10:56:54 AM PDT",1.0,215.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1811.jpg,AF045191,Grade AA+(T),IPH 12M,64GB,black,X885C,iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
214732,"Apple Cell Phones - iPhone 12 Mini, 64GB - 1 Unit - Grade AA+(T) - AF044833",$215,2 bidders,"Dec 17, 2024 10:57:08 AM PDT",1.0,215.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1812.jpg,AF044833,Grade AA+(T),IPH 12M,64GB,blue,X888C,iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
214736,"Apple Cell Phones - iPhone 12 Mini, 64GB - 1 Unit - Grade AA+(T) - AF044827",$215,2 bidders,"Dec 17, 2024 10:57:13 AM PDT",1.0,215.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1812.jpg,AF044827,Grade AA+(T),IPH 12M,64GB,red,X887C,iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
