listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
198459,"Apple Cell Phones - iPhone 13, 256GB - 25 Units - Grade AA+(T) - AT037958","$11,200",12 bidders,"Jun 25, 2024 9:55:36 AM PDT",25.0,448.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1674.jpg,AT037958,Grade AA+(T),IPH 13,256GB,"midnight, blue, Green, red, pink","A167D, A360D, T171D, J171D, T167D, A169D, T360D, E170D, A171D",iPhone 13,256GB,iPhone 13 256GB
213486,"Apple Cell Phones - iPhone 13, 256GB - 25 Units - Grade AA+(T) - AT044375","$9,901",5 bidders,"Dec 3, 2024 11:14:09 AM PDT",25.0,396.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1830.jpg,AT044375,Grade AA+(T),IPH 13,256GB,"midnight, blue, red, starlight, pink","A168D, A167D, A170D, A169D, T167D, E169D, A171D",iPhone 13,256GB,iPhone 13 256GB
213714,Apple Cell Phones - iPhone 13 - 16 Units - Grade AA+(T) - CT0071348A,"$5,750",6 bidders,"Dec 5, 2024 10:07:39 AM PDT",16.0,359.38,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1832.jpg,CT0071348A,Grade AA+(T),IPH 13,"256GB, 128GB","BLU, PNK, GRN, MDN","J166D, J162D, A359D, C167D, J164D",iPhone 13,256GB,iPhone 13 256GB
196347,"Apple Cell Phones - iPhone 13, 256GB - 20 Units - Grade AA+(T) - AT037211","$8,251",6 bidders,"Jun 4, 2024 10:04:24 AM PDT",20.0,412.55,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1651.jpg,AT037211,Grade AA+(T),IPH 13,256GB,"midnight, blue, Green, starlight, pink","J360D, A168D, S167D, A360D, J171D, A169D, A171D",iPhone 13,256GB,iPhone 13 256GB
204492,"Apple Cell Phones - iPhone 13, 256GB - 25 Units - Grade AA+(T) - AT040318","$10,601",8 bidders,"Sep 3, 2024 10:41:18 AM PDT",25.0,424.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1738.jpg,AT040318,Grade AA+(T),IPH 13,256GB,"red, pink, midnight, blue","A167D, A170D, J171D, T171D, A169D, J169D, J167D, A171D",iPhone 13,256GB,iPhone 13 256GB
207876,"Apple Cell Phones - iPhone 13, 256GB - 25 Units - Grade AA+(T) - AT041838","$10,750",8 bidders,"Oct 8, 2024 10:27:30 AM PDT",25.0,430.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1774.jpg,AT041838,Grade AA+(T),IPH 13,256GB,"midnight, blue, Green, red, starlight, pink","J170D, A168D, A167D, A170D, S167D, A360D, T171D, A169D, T167D, E167D, T168D, E171D, A171D",iPhone 13,256GB,iPhone 13 256GB
209044,"Apple Cell Phones - iPhone 13, 256GB - 49 Units - Grade AA+(T) - AT042530","$20,351",6 bidders,"Oct 22, 2024 11:18:44 AM PDT",49.0,415.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1787.jpg,AT042530,Grade AA+(T),IPH 13,256GB,"midnight, blue, Green, red, starlight, pink","A168D, A167D, A170D, A360D, T171D, A169D, T168D, T169D, J168D, S168D, A171D",iPhone 13,256GB,iPhone 13 256GB
227756,"Apple Cell Phones - iPhone 13, 256GB - 1 Unit - Grade AA+(T) - AF051444",$355,5 bidders,"May 6, 2025 10:08:24 AM PDT",1.0,355.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1968.jpg,AF051444,Grade AA+(T),IPH 13,256GB,starlight,J168D,iPhone 13,256GB,iPhone 13 256GB
191981,Apple Cell Phones - iPhone 13 - 50 Units - Grade AA+(T) - AT035200,"$19,551",6 bidders,"Apr 23, 2024 10:22:07 AM PDT",50.0,391.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1602.jpg,AT035200,Grade AA+(T),IPH 13,"256GB, 128GB","midnight, blue, red, starlight, pink","T162D, A168D, A167D, A170D, J162D, J166D, A165D, J171D, A164D, A169D, A166D, A162D, A163D, T171D, J164D, T166D, E171D, A171D",iPhone 13,256GB,iPhone 13 256GB
193343,Apple Cell Phones - iPhone 13 - 50 Units - Grade AA+(T) - AT035826,"$20,118",12 bidders,"May 7, 2024 11:17:02 AM PDT",50.0,402.36,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1617.jpg,AT035826,Grade AA+(T),IPH 13,"256GB, 128GB","midnight, blue, Green, red, starlight, pink","A168D, A167D, J162D, A170D, T162D, J171D, A164D, A162D, A169D, T171D, A166D, T167D, A163D, J164D, T166D, D359D, S166D, A171D",iPhone 13,256GB,iPhone 13 256GB
