listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
221574,Apple Cell Phones - iPhone XS Max - 25 Units - Grade B+(T) - CT0075124A,"$4,227",8 bidders,"Feb 27, 2025 11:51:55 AM PDT",25.0,169.08,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4365.jpg,CT0075124A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, J581B, J582B, J573B, A576B, J586B, J574B, S571B, J576B, J575B, S580B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
229201,Apple Cell Phones - iPhone XS Max - 21 Units - Grade B(T) - CT0078833A,"$2,398",7 bidders,"May 22, 2025 11:57:54 AM PDT",21.0,114.19,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4399.jpg,CT0078833A,Grade B(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, J586B, J573B, J574B, J576B, J575B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
190268,Apple Cell Phones - iPhone XS Max - 46 Units - Grade B+(T) - CT0058809A,"$8,599",7 bidders,"Apr 4, 2024 10:47:41 AM PDT",46.0,186.93,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4232.jpg,CT0058809A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, S575B, J573B, J586B, S574B, S573B, J574B, U574B, S571B, J576B, J575B, S580B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
191078,Apple Cell Phones - iPhone XS Max - 22 Units - Grade B+(T) - CT0059257A,"$3,650",6 bidders,"Apr 11, 2024 10:39:09 AM PDT",22.0,165.91,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4236.jpg,CT0059257A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, J581B, S575B, A571B, J574B, S571B, J576B, J575B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
197803,Apple Cell Phones - iPhone XS Max - 43 Units - Grade B+(T) - CT0062692A,"$6,961",7 bidders,"Jun 21, 2024 10:21:19 AM PDT",43.0,161.88,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4263.jpg,CT0062692A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, J582B, S586B, J573B, J586B, S575B, S574B, J574B, S571B, J576B, J575B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
200163,Apple Cell Phones - iPhone XS Max - 23 Units - Grade B+(T) - CT0064070A,"$3,625",7 bidders,"Jul 18, 2024 9:58:09 AM PDT",23.0,157.61,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4278.jpg,CT0064070A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, J581B, S586B, J573B, S575B, J586B, J574B, J576B, J575B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
201354,Apple Cell Phones - iPhone XS Max - 35 Units - Grade B+(T) - CT0064723A,"$6,125",11 bidders,"Aug 1, 2024 10:06:50 AM PDT",35.0,175.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4284.jpg,CT0064723A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, J582B, J581B, J573B, J574B, J576B, J575B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
202496,Apple Cell Phones - iPhone XS Max - 42 Units - Grade B+(T) - CT0065452A,"$7,325",7 bidders,"Aug 15, 2024 10:49:00 AM PDT",42.0,174.4,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4289.jpg,CT0065452A,Grade B+(T),IPH XSM,"512GB, 64GB, 256GB","GLD, SGY, SLV","J580B, J581B, J586B, S575B, J573B, J574B, J576B, J575B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
208135,Apple Cell Phones - iPhone XS Max - 26 Units - Grade B+(T) - CT0068392A,"$4,574",8 bidders,"Oct 10, 2024 10:53:26 AM PDT",26.0,175.92,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4308.jpg,CT0068392A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, S586B, J573B, J586B, J574B, S571B, J576B, J575B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
220064,Apple Cell Phones - iPhone XS Max - 26 Units - Grade B+(T) - CT0074333A,"$4,225",6 bidders,"Feb 13, 2025 12:14:33 PM PDT",26.0,162.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4359.jpg,CT0074333A,Grade B+(T),IPH XSM,"512GB, 256GB, 64GB","GLD, SGY, SLV","J580B, S586B, J586B, J573B, A575B, J574B, J576B, J575B, J571B",Iphone Xs Max,512GB,Iphone Xs Max 512GB
