listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190085,"Apple Cell Phones - iPhone 13 Pro, 256GB - 100 Units - Grade B+(T) - AT034350","$44,800",5 bidders,"Apr 2, 2024 10:10:20 AM PDT",100.0,448.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1536.jpg,AT034350,Grade B+(T),IPH 13P,256GB,"Graphite, blue, Green, silver, gold","A183D, E182D, J183D, T184D, A181D, E181D, T181D, A184D, E363D, J182D, E184D, A182D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
190303,"Apple Cell Phones - iPhone 13 Pro, 256GB - 51 Units - Grade B+(T) - CT0058738A","$22,100",6 bidders,"Apr 4, 2024 10:01:44 AM PDT",51.0,433.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1539.jpg,CT0058738A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, S183D, J183D, J181D, J363D, A181D, S182D, A184D, J182D, E363D, J184D, A182D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
190594,"Apple Cell Phones - iPhone 13 Pro, 256GB - 75 Units - Grade B+(T) - AT034713","$33,100",4 bidders,"Apr 9, 2024 9:32:09 AM PDT",75.0,441.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1543.jpg,AT034713,Grade B+(T),IPH 13P,256GB,"Graphite, blue, Green, silver, gold","A183D, E182D, U181D, T184D, E183D, A181D, E181D, S363D, A184D, E363D, A182D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
191168,"Apple Cell Phones - iPhone 13 Pro, 256GB - 75 Units - Grade B+(T) - AT034890","$34,700",7 bidders,"Apr 16, 2024 10:20:16 AM PDT",75.0,462.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1549.jpg,AT034890,Grade B+(T),IPH 13P,256GB,"Graphite, blue, Green, silver, gold","A183D, J183D, A181D, E181D, A184D, E363D, J184D, E184D, A182D, U184D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
191468,"Apple Cell Phones - iPhone 13 Pro, 256GB - 200 Units - Grade B+(T) - CN0001315A","$90,101",7 bidders,"Apr 17, 2024 11:12:40 AM PDT",200.0,450.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1551.jpg,CN0001315A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","C183D, C184D, C182D, C181D, C363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
198366,"Apple Cell Phones - iPhone 13 Pro, 256GB - 50 Units - Grade B+(T) - AT037896","$23,588",11 bidders,"Jun 25, 2024 9:11:07 AM PDT",50.0,471.76,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1625.jpg,AT037896,Grade B+(T),IPH 13P,256GB,"Graphite, blue, Green, silver, gold","A183D, J181D, T184D, A181D, E181D, A184D, E363D, A182D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
198511,"Apple Cell Phones - iPhone 13 Pro, 256GB - 200 Units - Grade B+(T) - CN0001779A","$92,633",7 bidders,"Jun 26, 2024 10:22:28 AM PDT",200.0,463.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1627.jpg,CN0001779A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","C183D, C184D, C182D, C181D, C363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
205649,"Apple Cell Phones - iPhone 13 Pro, 256GB - 200 Units - Grade B+(T) - CT0067089A","$90,750",6 bidders,"Sep 12, 2024 9:54:37 AM PDT",200.0,453.75,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1693.jpg,CT0067089A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, J181D, J183D, C183D, C184D, C182D, E183D, A181D, E181D, A184D, J182D, C181D, S184D, J184D, A182D, C363D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
214177,"Apple Cell Phones - iPhone 13 Pro, 256GB - 430 Units - Grade B+(T) - CT0071388A","$147,000",6 bidders,"Dec 12, 2024 11:01:22 AM PDT",430.0,341.86,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1775.jpg,CT0071388A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, E182D, S181D, J181D, J183D, C184D, E183D, A181D, A184D, J182D, C181D, E363D, J184D, E184D, A182D, U184D, S184D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
213698,"Apple Cell Phones - iPhone 13 Pro, 256GB - 448 Units - Grade B+(T) - CT0071080A","$160,283",6 bidders,"Dec 5, 2024 11:00:31 AM PDT",448.0,357.77,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1770.jpg,CT0071080A,Grade B+(T),"APL IPH 13P, IPH 13P",256GB,"GLD, BLU, GPH, SLV, GRN","A183D, E182D, S181D, J181D, C184D, J363D, A181D, S182D, A184D, S184D, C181D, U363D, J184D, J182D, A182D, U184D, E363D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
221588,"Apple Cell Phones - iPhone 13 Pro, 256GB - 102 Units - Grade B+(T) - CT0074939A","$32,933",4 bidders,"Feb 27, 2025 6:26:40 AM PDT",102.0,322.87,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1849.jpg,CT0074939A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, S181D, J181D, J183D, C184D, J363D, A181D, S363D, A184D, S184D, C181D, J182D, J184D, A182D, U184D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
220943,"Apple Cell Phones - iPhone 13 Pro, 256GB - 62 Units - Grade B+(T) - CT0074546A","$19,605",5 bidders,"Feb 20, 2025 10:46:50 AM PDT",62.0,316.21,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1846.jpg,CT0074546A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","S183D, A183D, S181D, C184D, J363D, A181D, A184D, E363D, A182D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
229183,"Apple Cell Phones - iPhone 13 Pro, 256GB - 51 Units - Grade B+(T) - CT0078677A","$18,610",9 bidders,"May 22, 2025 11:57:47 AM PDT",51.0,364.9,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1912.jpg,CT0078677A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, S181D, J181D, J183D, J363D, A181D, E181D, A184D, S184D, J184D, E184D, A182D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
191750,"Apple Cell Phones - iPhone 13 Pro, 256GB - 304 Units - Grade B+(T) - CT0059372A","$133,181",8 bidders,"Apr 18, 2024 10:17:52 AM PDT",304.0,438.1,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1554.jpg,CT0059372A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, S183D, U181D, S181D, J181D, J183D, J363D, A181D, E181D, A184D, S184D, E363D, J184D, E184D, A182D, U184D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
192228,"Apple Cell Phones - iPhone 13 Pro, 256GB - 225 Units - Grade B+(T) - CN0001366A","$99,388",8 bidders,"Apr 24, 2024 10:57:42 AM PDT",225.0,441.72,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1559.jpg,CN0001366A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","C183D, C184D, C182D, C181D, C363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
193218,"Apple Cell Phones - iPhone 13 Pro, 256GB - 188 Units - Grade B+(T) - CT0060120A","$84,100",10 bidders,"May 2, 2024 10:21:36 AM PDT",188.0,447.34,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1570.jpg,CT0060120A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, S183D, J181D, J183D, E183D, J363D, A181D, E181D, A184D, S184D, E363D, J184D, E184D, A182D, U184D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
193604,"Apple Cell Phones - iPhone 13 Pro, 256GB - 150 Units - Grade B+(T) - CN0001459A","$66,505",7 bidders,"May 8, 2024 10:14:02 AM PDT",150.0,443.37,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1575.jpg,CN0001459A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","C183D, C184D, C182D, T183D, C181D, T181D, U184D, C363D, J395D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
194175,"Apple Cell Phones - iPhone 13 Pro, 256GB - 174 Units - Grade B+(T) - AT035972","$80,500",8 bidders,"May 14, 2024 9:59:11 AM PDT",174.0,462.64,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1581.jpg,AT035972,Grade B+(T),IPH 13P,256GB,"Graphite, blue, Green, silver, gold","A183D, S183D, U183D, E182D, S181D, U181D, T182D, E183D, A181D, E181D, A184D, E363D, A182D, U184D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
194506,"Apple Cell Phones - iPhone 13 Pro, 256GB - 132 Units - Grade B+(T) - CT0060875A","$61,900",11 bidders,"May 16, 2024 10:21:00 AM PDT",132.0,468.94,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1586.jpg,CT0060875A,Grade B+(T),IPH 13P,256GB,"GLD, BLU, GPH, SLV, GRN","A183D, S183D, S181D, J181D, J183D, J363D, A181D, E181D, A184D, J182D, J184D, E184D, A363D",iPhone 13 Pro,256GB,iPhone 13 Pro 256GB
