listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190460,Apple Cell Phones - iPhone 15 Plus - 15 Units - Grade B+(T) - CT0058943A,"$9,306",6 bidders,"Apr 4, 2024 10:04:23 AM PDT",15.0,620.4,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_82.jpg,CT0058943A,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","A879D, U878D, U890D, U883D, U879D, A881D, A882D, J884D, U887D, A884D, U881D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
205657,Apple Cell Phones - iPhone 15 Plus - 23 Units - Grade B+(T) - CT0066999A,"$13,508",7 bidders,"Sep 12, 2024 10:15:57 AM PDT",23.0,587.3,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_182.jpg,CT0066999A,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","U878D, P881D, J889D, J879D, A889D, J883D, J881D, J892D, J884D, J882D, A878D, J878D, A884D, E880D, U881D, J888D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
214233,Apple Cell Phones - iPhone 15 Plus - 48 Units - Grade B+(T) - CT0071564A,"$25,001",5 bidders,"Dec 12, 2024 10:14:12 AM PDT",48.0,520.85,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_247.jpg,CT0071564A,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, PNK, BLU, GRN, YEL","U883D, U879D, E890D, J883D, A887D, S880D, J886D, S884D, J881D, A884D, E882D, A879D, U884D, A881D, A886D, J884D, S879D, E884D, J880D, A878D, J878D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
220620,Apple Cell Phones - iPhone 15 Plus - 23 Units - Grade B+(T) - CT0074751A,"$11,105",7 bidders,"Feb 20, 2025 10:55:03 AM PDT",23.0,482.83,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_297.jpg,CT0074751A,Grade B+(T),"IPH 15PL, APL IPH 15PL, IPH 15PL 128GB","512GB, 256GB, 128GB","BLU, BLK, GRN, PNK","E879D, A879D, S891D, J879D, A889D, A882D, J883D, J881D, J884D, J882D, A883D, A878D, J886D, A884D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
221626,Apple Cell Phones - iPhone 15 Plus - 46 Units - Grade B+(T) - CT0075064A,"$22,210",7 bidders,"Feb 27, 2025 10:13:17 AM PDT",46.0,482.83,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_305.jpg,CT0075064A,Grade B+(T),"IPH 15PL, IPH 15PL 128GB","512GB, 256GB, 128GB","BLK, YEL, PNK, BLU, GRN","A879D, S883D, J885D, J886D, A881D, A886D, A889D, J883D, A882D, J892D, J884D, J882D, A878D, A884D, A883D, S884D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
228677,Apple Cell Phones - iPhone 15 Plus - 36 Units - Grade B+(T) - CT0078498A,"$17,300",9 bidders,"May 15, 2025 10:51:33 AM PDT",36.0,480.56,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_358.jpg,CT0078498A,Grade B+(T),"IPH 15PL, PH 15PL","512GB, 256GB","BLK, YEL, PNK, BLU, GRN","A892D, A886D, J883D, A887D, A885D, J884D, A883D, A884D, J886D, S884D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
202485,Apple Cell Phones - iPhone 15 Plus - 33 Units - Grade B+(T) - CT0065481A,"$20,000",4 bidders,"Aug 15, 2024 9:29:23 AM PDT",33.0,606.06,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_162.jpg,CT0065481A,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","BLK, YEL, PNK, BLU, GRN","U878D, U885D, J889D, A881D, A882D, J883D, J881D, U882D, J884D, U880D, A884D, J878D, A878D, J882D, U881D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
204434,Apple Cell Phones - iPhone 15 Plus - 82 Units - Grade B+(T) - AT040257,"$46,601",3 bidders,"Sep 3, 2024 10:35:57 AM PDT",82.0,568.3,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_174.jpg,AT040257,Grade B+(T),IPH 15PL,"512GB, 256GB, 128GB","black, Pink, blue, Green, Blue, green, yellow, pink","U878D, U883D, U879D, U891D, U888D, J886D, U882D, U892D, A884D, A879D, U884D, A881D, U889D, A883D, U881D, P881D, P883D, U886D, U890D, J879D, U880D, U887D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
222401,Apple Cell Phones - iPhone 15 Plus - 39 Units - Grade B+(T) - CT0075378A,"$18,108",4 bidders,"Mar 6, 2025 10:32:54 AM PDT",39.0,464.31,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_310.jpg,CT0075378A,Grade B+(T),"IPH 15PL, IPH 15PL 128GB","512GB, 256GB, 128GB","BLK, YEL, PNK, BLU, GRN","J883D, A887D, E886D, J886D, A888D, A884D, E882D, S892D, A879D, A881D, A886D, J884D, A883D, S879D, J879D, A882D, A885D, E884D, J882D, A878D, J887D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
225705,Apple Cell Phones - iPhone 15 Plus - 28 Units - Grade B+(T) - CT0077085A,"$12,751",5 bidders,"Apr 10, 2025 10:28:51 AM PDT",28.0,455.39,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15plus_336.jpg,CT0077085A,Grade B+(T),"IPH 15PL, PH 15PL","512GB, 128GB","BLK, PNK, BLU, GRN, YEL","A892D, A879D, J889D, A881D, J879D, A889D, J881D, J880D, A878D, J878D",iPhone 15 Plus,512GB,iPhone 15 Plus 512GB
