listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
221581,Apple Cell Phones - iPhone SE (2022) - 137 Units - Grade C(T) - CT0074993A,"$12,819",4 bidders,"Feb 27, 2025 10:57:22 AM PDT",137.0,93.57,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_737.jpg,CT0074993A,Grade C(T),"APL IP SE22 U, IPH SE22","64GB, 256GB, 128GB","STL, RED, MDN","S371D, A370D, S370D, E375D, J393D, E376D, E370D, U370D, J371D, E392D, J373D, J370D, J377D, J376D, J374D, S372D, J372D, S373D, E373D, J375D",Iphone Se,64GB,Iphone Se 64GB
220589,Apple Cell Phones - iPhone SE (2020) - 28 Units - Grade C(T) - CT0074722A,"$1,725",4 bidders,"Feb 20, 2025 8:25:50 AM PDT",28.0,61.61,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2020_2205.jpg,CT0074722A,Grade C(T),"IPH SE20, IPH SE20X","64GB, 128GB","RED, WHT, BLK","J482C, J817C, J819C, J818C, J425D",Iphone Se,64GB,Iphone Se 64GB
229198,Apple Cell Phones - iPhone SE (2020) - 26 Units - Grade C(T) - CT0078801A,"$1,926",3 bidders,"May 22, 2025 11:39:23 AM PDT",26.0,74.08,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2020_2253.jpg,CT0078801A,Grade C(T),"IPH SE20, IPH SE20X","64GB, 256GB, 128GB","RED, WHT, BLK","J820C, J482C, J817C, J824C, S819C, J822C, J821C, J819C, J818C, S818C, J313D",Iphone Se,64GB,Iphone Se 64GB
229248,Apple Cell Phones - iPhone SE (2022) - 109 Units - Grade C(T) - CT0078694A,"$10,482",3 bidders,"May 22, 2025 10:58:23 AM PDT",109.0,96.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_797.jpg,CT0078694A,Grade C(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","A370D, S370D, S375D, J389D, U373D, E376D, E370D, J371D, J373D, J370D, J377D, J376D, J374D, S372D, J372D, A372D, A371D, E371D, J375D",Iphone Se,64GB,Iphone Se 64GB
218293,Apple Cell Phones - iPhone SE (2020) - 23 Units - Grade C(T) - CT0073327A,"$1,683",4 bidders,"Jan 23, 2025 1:27:22 PM PDT",23.0,73.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2020_2184.jpg,CT0073327A,Grade C(T),"IPH SE2, IPH SE20, IPH SE20X","64GB, 256GB, 128GB","RED, WHT, BLK","J482C, J484C, J479C, J477C, J817C, S477C, J478C, J913C, J313D",Iphone Se,64GB,Iphone Se 64GB
220058,Apple Cell Phones - iPhone SE (2022) - 100 Units - Grade C(T) - CT0074220A,"$8,550",3 bidders,"Feb 13, 2025 11:04:25 AM PDT",100.0,85.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_728.jpg,CT0074220A,Grade C(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","A370D, S370D, A377D, U371D, S374D, E370D, U370D, J371D, J373D, J370D, J376D, J374D, J372D, A372D, E373D, A371D, E371D, S378D, J375D",Iphone Se,64GB,Iphone Se 64GB
222190,Apple Cell Phones - iPhone SE (2020) - 60 Units - Grade C(T) - CT0075331A,"$4,029",3 bidders,"Mar 6, 2025 11:14:13 AM PDT",60.0,67.15,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2020_2215.jpg,CT0075331A,Grade C(T),"IPH SE2, IPHN SE20, IPH SE20, IPH SE20X","64GB, 256GB, 128GB","RED, WHT, BLK","J820C, J482C, J481C, J484C, J480C, 6477C, J483C, J479C, J477C, J817C, J485C, J822C, J819C, J478C, J818C, J913C, J313D",Iphone Se,64GB,Iphone Se 64GB
223828,Apple Cell Phones - iPhone SE (2022) - 94 Units - Grade C(T) - CT0076015A,"$8,674",5 bidders,"Mar 20, 2025 11:55:09 AM PDT",94.0,92.28,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_756.jpg,CT0076015A,Grade C(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","U370D, J371D, J374D, S370D, S372D, E373D, U372D, J373D, J370D, A371D, J372D, E371D, 6372D, J376D, E370D, J375D, A372D",Iphone Se,64GB,Iphone Se 64GB
227683,Apple Cell Phones - iPhone SE (2022) - 100 Units - Grade C(T) - CT0077879A,"$9,268",3 bidders,"May 1, 2025 10:26:59 AM PDT",100.0,92.68,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_784.jpg,CT0077879A,Grade C(T),IPH SE22,"64GB, 256GB, 128GB","STL, RED, MDN","U370D, J371D, S370D, J373D, J370D, E374D, E372D, J372D, E371D, J376D, E370D, J375D, A372D, S373D",Iphone Se,64GB,Iphone Se 64GB
229912,Apple Cell Phones - iPhone SE (2022) - 108 Units - Grade C(T) - CT0079040A,"$10,260",4 bidders,"May 29, 2025 9:32:20 AM PDT",108.0,95.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonese2022_801.jpg,CT0079040A,Grade C(T),"IPH SE22, SE2, IP SE22 U","64GB, 256GB, 128GB","STL, RED, MDN","A370D, S370D, E370D, U370D, J371D, J373D, J370D, J376D, J392D, J374D, E372D, J372D, J391D, S391D, A372D, E373D, A371D, E371D, J375D",Iphone Se,64GB,Iphone Se 64GB
