listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
220889,"Apple Cell Phones - iPhone 14 Plus, 128GB - 260 Units - Grade C(T) - CT0074481A","$57,713",2 bidders,"Feb 20, 2025 10:05:49 AM PDT",260.0,221.97,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_671.jpg,CT0074481A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E499D, A801D, U496D, A497D, J497D, S496D, A500D, J499D, S497D, J500D, A499D, E496D, E500D, S500D, J801D, J496D, A496D, S498D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
221630,"Apple Cell Phones - iPhone 14 Plus, 128GB - 311 Units - Grade C(T) - CT0074901A","$68,670",6 bidders,"Feb 27, 2025 11:32:46 AM PDT",311.0,220.8,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_677.jpg,CT0074901A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, S499D, A497D, J497D, A500D, S496D, J499D, J500D, A499D, E496D, E500D, S500D, J801D, J496D, A496D, S498D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
228717,"Apple Cell Phones - iPhone 14 Plus, 128GB - 153 Units - Grade C(T) - CT0078360A","$32,689",5 bidders,"May 15, 2025 10:53:52 AM PDT",153.0,213.65,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_739.jpg,CT0078360A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, A801D, A497D, J497D, A500D, S496D, J499D, J500D, A499D, E496D, E500D, J801D, J496D, A496D, E498D, S801D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
218290,"Apple Cell Phones - iPhone 14 Plus, 128GB - 387 Units - Grade C(T) - CT0073090A","$97,250",4 bidders,"Jan 23, 2025 12:47:20 PM PDT",387.0,251.29,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_645.jpg,CT0073090A,Grade C(T),"IPH 14PL, IPH 14PL 128GB",128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, S499D, A497D, J497D, A500D, S496D, J499D, J500D, A499D, E496D, E500D, J801D, U498D, J496D, A496D, S498D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
219283,"Apple Cell Phones - iPhone 14 Plus, 128GB - 25 Units - Grade C(T) - AT047091","$6,503",5 bidders,"Feb 4, 2025 10:54:57 AM PDT",25.0,260.12,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_656.jpg,AT047091,Grade C(T),IPH 14PL,128GB,"Purple, Starlight, Blue, Midnight","A498D, E500D, S500D, A500D, J496D, E497D, A496D, E498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
220209,"Apple Cell Phones - iPhone 14 Plus, 128GB - 321 Units - Grade C(T) - CT0074104A","$77,977",4 bidders,"Feb 13, 2025 10:55:47 AM PDT",321.0,242.92,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_664.jpg,CT0074104A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, A801D, S499D, A497D, J497D, A500D, S496D, J499D, S497D, J500D, A499D, E496D, E500D, U498D, J801D, J496D, A496D, S498D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
222403,"Apple Cell Phones - iPhone 14 Plus, 128GB - 267 Units - Grade C(T) - CT0075213A","$62,019",5 bidders,"Mar 6, 2025 11:23:26 AM PDT",267.0,232.28,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_684.jpg,CT0075213A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, A801D, U499D, U496D, S499D, U500D, J497D, A500D, J499D, S497D, J500D, A499D, E496D, E500D, S500D, J496D, A496D, E498D, J498D, C496D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
222896,"Apple Cell Phones - iPhone 14 Plus, 128GB - 179 Units - Grade C(T) - CT0075549A","$40,809",4 bidders,"Mar 13, 2025 11:34:15 AM PDT",179.0,227.98,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_687.jpg,CT0075549A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, U496D, U500D, J497D, A500D, S496D, J499D, J500D, A499D, E496D, S500D, E500D, J801D, U497D, J496D, A496D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
224390,"Apple Cell Phones - iPhone 14 Plus, 128GB - 321 Units - Grade C(T) - CT0076290A","$68,150",4 bidders,"Mar 27, 2025 10:45:38 AM PDT",321.0,212.31,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_700.jpg,CT0076290A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, A801D, U499D, E801D, U496D, A497D, J497D, A500D, S496D, J499D, J500D, A499D, E496D, E500D, S500D, J801D, U498D, J496D, A496D, S498D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
226179,"Apple Cell Phones - iPhone 14 Plus, 128GB - 233 Units - Grade C(T) - CT0077218A","$49,590",3 bidders,"Apr 17, 2025 11:38:08 AM PDT",233.0,212.83,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_715.jpg,CT0077218A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, 6497D, U500D, A497D, J497D, A500D, S496D, J499D, S497D, J500D, E496D, E500D, J801D, J496D, A496D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
228893,"Apple Cell Phones - iPhone 14 Plus, 128GB - 25 Units - Grade C(T) - AT051844","$5,200",4 bidders,"May 20, 2025 10:19:44 AM PDT",25.0,208.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_741.jpg,AT051844,Grade C(T),IPH 14PL,128GB,"Purple, Starlight, Blue, Midnight, Red","A498D, E496D, E500D, A500D, U498D, J499D, J496D, A496D, E499D, E498D, A497D, A499D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
230383,"Apple Cell Phones - iPhone 14 Plus, 128GB - 176 Units - Grade C(T) - CT0079279A","$32,595",4 bidders,"Jun 5, 2025 11:08:59 AM PDT",176.0,185.2,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_752.jpg,CT0079279A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E496D, E500D, S500D, J497D, A500D, S496D, J499D, E801D, J496D, A496D, E499D, S499D, E498D, J500D, A499D, J498D, A497D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
224979,"Apple Cell Phones - iPhone 14 Plus, 128GB - 243 Units - Grade C(T) - CT0076591A","$53,507",3 bidders,"Apr 3, 2025 10:47:40 AM PDT",243.0,220.19,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14plus_704.jpg,CT0076591A,Grade C(T),IPH 14PL,128GB,"PUR, STL, RED, MDN, BLU, YEL","A498D, E497D, E499D, U496D, S499D, U500D, A497D, J497D, A500D, S496D, J499D, J500D, A499D, E496D, E500D, S500D, J801D, U497D, J496D, A496D, S498D, E498D, J498D",iPhone 14 Plus,128GB,iPhone 14 Plus 128GB
