listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
220864,"Apple Cell Phones - iPhone 14 Pro, 128GB - 360 Units - Grade C(T) - CT0074463A","$116,078",5 bidders,"Feb 20, 2025 10:36:53 AM PDT",360.0,322.44,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_887.jpg,CT0074463A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","J511D, S514D, E513D, A511D, A514D, J512D, S511D, E512D, J513D, U511D, A512D, A513D, E514D, E511D, S513D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
221565,"Apple Cell Phones - iPhone 14 Pro, 128GB - 344 Units - Grade C(T) - CT0074888A","$109,826",5 bidders,"Feb 27, 2025 10:52:03 AM PDT",344.0,319.26,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_893.jpg,CT0074888A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","J511D, S514D, E513D, A511D, A514D, J512D, S511D, E512D, J513D, A512D, A513D, E514D, E511D, S513D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
220754,"Apple Cell Phones - iPhone 14 Pro, 128GB - 375 Units - Grade C(T) - CT0074876A","$120,188",5 bidders,"Feb 20, 2025 10:19:57 AM PDT",375.0,320.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_886.jpg,CT0074876A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","U513D, J511D, S514D, E513D, A511D, A514D, J512D, S511D, E512D, S512D, J513D, U511D, A512D, A513D, E514D, E511D, S513D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
218820,"Apple Cell Phones - iPhone 14 Pro, 128GB - 350 Units - Grade C(T) - CT0073768A","$118,585",4 bidders,"Jan 30, 2025 10:44:57 AM PDT",350.0,338.81,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_868.jpg,CT0073768A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","J511D, S514D, E513D, A511D, A514D, J512D, S511D, E512D, S512D, J513D, U511D, A512D, A513D, E511D, S513D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
221853,"Apple Cell Phones - iPhone 14 Pro, 128GB - 50 Units - Grade C(T) - AT048460","$16,861",5 bidders,"Mar 4, 2025 10:28:36 AM PDT",50.0,337.22,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_896.jpg,AT048460,Grade C(T),IPH 14P,128GB,"Purple, Black, Silver, Gold","J511D, S514D, A511D, A514D, S511D, U514D, E512D, A512D, A513D, E514D, E511D, S513D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
225763,"Apple Cell Phones - iPhone 14 Pro, 128GB - 373 Units - Grade C(T) - CT0076906A","$122,725",4 bidders,"Apr 10, 2025 10:20:51 AM PDT",373.0,329.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_934.jpg,CT0076906A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","J511D, S514D, E513D, A511D, A514D, J512D, S511D, E512D, S512D, J513D, A512D, A513D, E514D, E511D, S513D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
226991,"Apple Cell Phones - iPhone 14 Pro, 128GB - 250 Units - Grade C(T) - CT0077792A","$83,500",5 bidders,"Apr 24, 2025 10:31:53 AM PDT",250.0,334.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_946.jpg,CT0077792A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","J511D, S514D, E513D, A511D, A514D, J512D, U514D, E512D, S511D, J513D, U511D, A512D, A513D, E514D, E511D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
227612,"Apple Cell Phones - iPhone 14 Pro, 128GB - 350 Units - Grade C(T) - CT0078066A","$115,349",5 bidders,"May 1, 2025 10:17:21 AM PDT",350.0,329.57,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_952.jpg,CT0078066A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","J511D, S514D, E513D, A511D, A514D, J512D, S511D, E512D, U512D, J513D, U511D, A512D, A513D, E514D, E511D, S513D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
228147,"Apple Cell Phones - iPhone 14 Pro, 128GB - 250 Units - Grade C(T) - CT0078333A","$83,974",3 bidders,"May 8, 2025 10:22:13 AM PDT",250.0,335.9,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_957.jpg,CT0078333A,Grade C(T),IPH 14P,128GB,"GLD, PUR, SLV, BLK","J511D, E513D, A511D, A514D, J512D, S511D, E512D, J513D, A512D, A513D, E514D, E511D, S513D, J514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
228332,"Apple Cell Phones - iPhone 14 Pro, 128GB - 25 Units - Grade C(T) - AT051665","$8,903",3 bidders,"May 12, 2025 1:49:38 PM PDT",25.0,356.12,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_958.jpg,AT051665,Grade C(T),IPH 14P,128GB,"Purple, Black, Gold, Silver","S514D, E513D, A511D, A514D, A512D, A513D, E514D",iPhone 14 Pro,128GB,iPhone 14 Pro 128GB
