listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
221649,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 60 Units - Grade C(T) - CT0074967A","$30,300",4 bidders,"Feb 27, 2025 11:39:59 AM PDT",60.0,505.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_389.jpg,CT0074967A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","J918D, J917D, A917D, J919D, J920D, E920D, E917D, A920D, S918D, E919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
220057,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 78 Units - Grade C(T) - CT0074159A","$40,960",4 bidders,"Feb 13, 2025 11:33:22 AM PDT",78.0,525.13,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_374.jpg,CT0074159A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, J917D, J918D, A917D, J919D, S917D, J920D, E917D, E920D, A920D, A919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
220829,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 53 Units - Grade C(T) - CT0074558A","$28,232",5 bidders,"Feb 20, 2025 11:23:56 AM PDT",53.0,532.68,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_381.jpg,CT0074558A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, J917D, J918D, A917D, J919D, S917D, J920D, E920D, A920D, S920D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
222966,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 74 Units - Grade C(T) - CT0075585A","$38,827",7 bidders,"Mar 13, 2025 10:35:19 AM PDT",74.0,524.69,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_401.jpg,CT0075585A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, J918D, J917D, A917D, J919D, J920D, E917D, E918D, E920D, A920D, S920D, E919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
224398,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 57 Units - Grade C(T) - CT0076347A","$31,539",3 bidders,"Mar 27, 2025 11:03:14 AM PDT",57.0,553.32,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_415.jpg,CT0076347A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, J918D, J917D, A917D, J919D, J920D, E917D, E918D, A920D, A919D, E919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
226144,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 64 Units - Grade C(T) - CT0077255A","$30,544",5 bidders,"Apr 17, 2025 10:21:09 AM PDT",64.0,477.25,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_430.jpg,CT0077255A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, J917D, J918D, A917D, J919D, J920D, E917D, E920D, E918D, A920D, A919D, E919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
227675,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 53 Units - Grade C(T) - CT0077857A","$26,475",3 bidders,"May 1, 2025 10:17:07 AM PDT",53.0,499.53,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_445.jpg,CT0077857A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, J917D, J918D, U918D, J919D, A917D, J920D, E917D, E920D, E918D, S918D, S920D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
228154,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 99 Units - Grade C(T) - CT0078109A","$50,012",6 bidders,"May 8, 2025 10:22:33 AM PDT",99.0,505.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_450.jpg,CT0078109A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, J917D, J918D, A917D, J919D, J920D, E920D, E917D, E918D, A920D, S920D, A919D, E919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
225613,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 65 Units - Grade C(T) - CT0076955A","$32,063",5 bidders,"Apr 10, 2025 9:54:11 AM PDT",65.0,493.28,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_426.jpg,CT0076955A,Grade C(T),IPH 15PM,1TB,"BLU, NAT, WHT, BLK","A918D, S919D, J918D, J917D, A917D, J919D, J920D, E917D, A920D, A919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
229855,"Apple Cell Phones - iPhone 15 Pro Max, 1TB - 52 Units - Grade C(T) - CT0079021A","$25,908",6 bidders,"May 29, 2025 11:03:10 AM PDT",52.0,498.23,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_468.jpg,CT0079021A,Grade C(T),"IPH 15PM, APL IPH 15PM",1TB,"BLU, NAT, WHT, BLK","J917D, J918D, J919D, J920D, E917D, E920D, E918D, A920D, A919D",iPhone 15 Pro Max,1TB,iPhone 15 Pro Max 1TB
