listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
221330,Apple Cell Phones - iPhone 15 Pro Max - 40 Units - Grade C(T) - AT048228,"$22,270",5 bidders,"Feb 25, 2025 10:01:37 AM PDT",40.0,556.75,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_387.jpg,AT048228,Grade C(T),IPH 15PM,"512GB, 256GB","black, blue, Blue, white, Titanium","A913D, J914D, A912D, J916D, A915D, A916D, E911D, E916D, E909D, S909D, A911D, S913D, P909D, A909D, A910D, A914D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
229966,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 158 Units - Grade C(T) - CT0078976A","$75,287",5 bidders,"May 29, 2025 10:33:49 AM PDT",158.0,476.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_469.jpg,CT0078976A,Grade C(T),"IPH 15PM, APL IPH 15PM",512GB,"BLU, NAT, WHT, BLK","J913D, A913D, S916D, J916D, J502E, E916D, A915D, A916D, E913D, S913D, J915D, J914D, E914D, A914D, S915D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
230402,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 121 Units - Grade C(T) - CT0079291A","$56,190",4 bidders,"Jun 5, 2025 10:03:10 AM PDT",121.0,464.38,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_473.jpg,CT0079291A,Grade C(T),IPH 15PM,512GB,"BLU, WHT, BLK","J913D, A913D, S916D, J916D, E916D, E913D, U913D, S913D, J914D, E914D, A914D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
219221,Apple Cell Phones - iPhone 15 Pro Max - 45 Units - Grade C(T) - AT047059,"$32,464",6 bidders,"Feb 4, 2025 11:41:09 AM PDT",45.0,721.42,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_365.jpg,AT047059,Grade C(T),IPH 15PM,"512GB, 256GB, 1TB","black, blue, Blue, Black, white, Titanium","A913D, S912D, U911D, A915D, A910D, E919D, A918D, A912D, U909D, E912D, E916D, U914D, S913D, J914D, E909D, A911D, J912D, J913D, A917D, A916D, E911D, A920D, A909D, A914D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
220786,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 103 Units - Grade C(T) - CT0074515A","$53,334",4 bidders,"Feb 20, 2025 11:16:27 AM PDT",103.0,517.81,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_381.jpg,CT0074515A,Grade C(T),IPH 15PM,512GB,"BLU, NAT, WHT, BLK","J913D, S916D, J916D, A915D, A916D, E913D, U915D, J915D, E915D, J914D, E914D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
221777,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 196 Units - Grade C(T) - CT0074911A","$97,733",5 bidders,"Feb 27, 2025 12:09:15 PM PDT",196.0,498.64,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_390.jpg,CT0074911A,Grade C(T),"IPH 15PM, APL IPH 15PM",512GB,"BLU, NAT, WHT, BLK","J913D, A913D, S916D, J916D, 6913D, A915D, A916D, E913D, J499E, S913D, J915D, S914D, U916D, J914D, E914D, A914D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
223067,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 118 Units - Grade C(T) - CT0075566A","$58,600",4 bidders,"Mar 13, 2025 10:05:46 AM PDT",118.0,496.61,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_402.jpg,CT0075566A,Grade C(T),IPH 15PM,512GB,"BLU, NAT, WHT, BLK","J913D, A913D, J916D, E916D, A916D, A915D, E913D, J915D, E915D, J914D, E914D, A914D, S915D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
224181,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 24 Units - Grade C(T) - AT049574","$13,555",6 bidders,"Mar 25, 2025 10:02:36 AM PDT",24.0,564.79,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_413.jpg,AT049574,Grade C(T),IPH 15PM,512GB,"black, Titanium, white, blue","A913D, J916D, A915D, A916D, E913D, A914D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
224505,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 118 Units - Grade C(T) - CT0076313A","$57,627",4 bidders,"Mar 27, 2025 10:30:23 AM PDT",118.0,488.36,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_416.jpg,CT0076313A,Grade C(T),"IPH 15PM, APL IPH 15PM",512GB,"BLU, NAT, WHT, BLK","J913D, A913D, S916D, J916D, J502E, A915D, A916D, E913D, E916D, J499E, S913D, J915D, S914D, E915D, J914D, E914D, A914D, S915D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
224847,"Apple Cell Phones - iPhone 15 Pro Max, 512GB - 187 Units - Grade C(T) - CT0076598A","$92,439",7 bidders,"Apr 3, 2025 10:50:07 AM PDT",187.0,494.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_419.jpg,CT0076598A,Grade C(T),IPH 15PM,512GB,"BLU, NAT, WHT, BLK","J913D, A913D, S916D, J916D, J524E, A915D, A916D, E913D, E916D, S913D, J915D, E915D, J914D, A914D, S915D",iPhone 15 Pro Max,512GB,iPhone 15 Pro Max 512GB
