model,variant,grade,chart_path
Iphone Se,"Iphone Se , 128GB",Grade A,"Grade_A/Iphone_Se_,_128GB.html"
Iphone Se,"Iphone Se , 256GB",Grade A,"Grade_A/Iphone_Se_,_256GB.html"
Iphone Se,"Iphone Se , 64GB",Grade A,"Grade_A/Iphone_Se_,_64GB.html"
Iphone Se,Iphone Se 256GB,Grade A,Grade_A/Iphone_Se_256GB.html
Iphone Se,Iphone Se 64GB,Grade A,Grade_A/Iphone_Se_64GB.html
Iphone X,Iphone X 64GB,Grade A,Grade_A/Iphone_X_64GB.html
Iphone Xs,Iphone Xs Max 512GB,Grade A,Grade_A/Iphone_Xs_Max_512GB.html
iPhone 11,iPhone 11 64GB,Grade A,Grade_A/iPhone_11_64GB.html
iPhone 11,iPhone 11 Pro 512GB,Grade A,Grade_A/iPhone_11_Pro_512GB.html
iPhone 11,iPhone 11 Pro Max 256GB,Grade A,Grade_A/iPhone_11_Pro_Max_256GB.html
iPhone 11,iPhone 11 Pro Max 512GB,Grade A,Grade_A/iPhone_11_Pro_Max_512GB.html
iPhone 12,iPhone 12 128GB,Grade A,Grade_A/iPhone_12_128GB.html
iPhone 12,iPhone 12 256GB,Grade A,Grade_A/iPhone_12_256GB.html
iPhone 12,iPhone 12 64GB,Grade A,Grade_A/iPhone_12_64GB.html
iPhone 12,iPhone 12 Mini 128GB,Grade A,Grade_A/iPhone_12_Mini_128GB.html
iPhone 12,iPhone 12 Mini 256GB,Grade A,Grade_A/iPhone_12_Mini_256GB.html
iPhone 12,iPhone 12 Mini 64GB,Grade A,Grade_A/iPhone_12_Mini_64GB.html
iPhone 12,iPhone 12 Pro 128GB,Grade A,Grade_A/iPhone_12_Pro_128GB.html
iPhone 12,iPhone 12 Pro 256GB,Grade A,Grade_A/iPhone_12_Pro_256GB.html
iPhone 12,iPhone 12 Pro 512GB,Grade A,Grade_A/iPhone_12_Pro_512GB.html
iPhone 12,iPhone 12 Pro Max 128GB,Grade A,Grade_A/iPhone_12_Pro_Max_128GB.html
iPhone 12,iPhone 12 Pro Max 256GB,Grade A,Grade_A/iPhone_12_Pro_Max_256GB.html
iPhone 12,iPhone 12 Pro Max 512GB,Grade A,Grade_A/iPhone_12_Pro_Max_512GB.html
iPhone 13,iPhone 13 128GB,Grade A,Grade_A/iPhone_13_128GB.html
iPhone 13,iPhone 13 256GB,Grade A,Grade_A/iPhone_13_256GB.html
iPhone 13,iPhone 13 512GB,Grade A,Grade_A/iPhone_13_512GB.html
iPhone 13,iPhone 13 Mini 128GB,Grade A,Grade_A/iPhone_13_Mini_128GB.html
iPhone 13,iPhone 13 Mini 256GB,Grade A,Grade_A/iPhone_13_Mini_256GB.html
iPhone 13,iPhone 13 Mini 512GB,Grade A,Grade_A/iPhone_13_Mini_512GB.html
iPhone 13,iPhone 13 Pro 128GB,Grade A,Grade_A/iPhone_13_Pro_128GB.html
iPhone 13,iPhone 13 Pro 256GB,Grade A,Grade_A/iPhone_13_Pro_256GB.html
iPhone 13,iPhone 13 Pro 512GB,Grade A,Grade_A/iPhone_13_Pro_512GB.html
iPhone 13,iPhone 13 Pro Max 128GB,Grade A,Grade_A/iPhone_13_Pro_Max_128GB.html
iPhone 13,iPhone 13 Pro Max 1TB,Grade A,Grade_A/iPhone_13_Pro_Max_1TB.html
iPhone 13,iPhone 13 Pro Max 256GB,Grade A,Grade_A/iPhone_13_Pro_Max_256GB.html
iPhone 13,iPhone 13 Pro Max 512GB,Grade A,Grade_A/iPhone_13_Pro_Max_512GB.html
iPhone 14,iPhone 14 128GB,Grade A,Grade_A/iPhone_14_128GB.html
iPhone 14,iPhone 14 256GB,Grade A,Grade_A/iPhone_14_256GB.html
iPhone 14,iPhone 14 512GB,Grade A,Grade_A/iPhone_14_512GB.html
