listingId,title,winning_bid_amount,bidder_count,winning_bid_time,unit_count,price_per_unit,image_url,sku,grade,manifest_models,manifest_capacities,manifest_colors,manifest_part_numbers,clean_model
190030,"Samsung Cell Phones - Galaxy Z Flip5 5G, 256GB - 25 Units - Grade A+(T) - AT034453","$11,050",8 bidders,"Apr 2, 2024 11:09:42 AM PDT",25.0,442.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxyzflip5_5g_102.jpg,AT034453,Grade A+(T),SMF731U,256GB,"Cream, Graphite, lavender, mint","U826D, U823D, A818D, E818D, U822D, U818D",Samsung Galaxy Z Flip5
190000,Samsung Cell Phones - Galaxy S20 FE 5G - 75 Units - Grade B+(T) - AT034377,"$11,149",7 bidders,"Apr 1, 2024 2:18:55 PM PDT",75.0,148.65,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys20fe5g_1128.jpg,AT034377,Grade B+(T),SMG781U,,"Blue, green, blue","U691C, S691C, A693C, S693C, A691C, E691C",Samsung Galaxy S20 Fe
190040,"Samsung Cell Phones - Galaxy S23 5G, 128GB - 50 Units - Grade B+(T) - AT034369","$17,404",7 bidders,"Apr 2, 2024 11:39:35 AM PDT",50.0,348.08,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys235g_252.jpg,AT034369,Grade B+(T),SMS911U,128GB,"black, lavender, Green, Cream, green","U659D, A662D, E662D, E659D, A660D, A661D, U662D",Samsung Galaxy S23
190041,"Samsung Cell Phones - Galaxy Z Fold4 5G, 512GB - 25 Units - Grade B+(T) - AT034484","$10,251",7 bidders,"Apr 2, 2024 11:16:28 AM PDT",25.0,410.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxyzfold45g_291.jpg,AT034484,Grade B+(T),SMF936U,512GB,"Black, Gray, Beige","U446D, A446D, E446D, A445D, E447D",Samsung Galaxy Z Fold4
190032,"Apple Cell Phones - iPhone 12 Pro, 128GB - 25 Units - Grade A+(T) - AT034502","$8,834",3 bidders,"Apr 2, 2024 11:24:21 AM PDT",25.0,353.36,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12pro_2110.jpg,AT034502,Grade A+(T),IPH 12P,128GB,"Graphite, gold, blue","A875C, T876C, T875C, A876C, U876C, J876C, A873C, S873C, T873C, J873C, S876C",iPhone 12 Pro
190002,"Apple Cell Phones - iPhone 15 Pro Max, 256GB - 100 Units - Grade A+(T) - AT034348","$95,002",5 bidders,"Apr 2, 2024 9:32:02 AM PDT",100.0,950.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone15promax_102.jpg,AT034348,Grade A+(T),IPH 15PM,256GB,"black, Blue, Titanium","U909D, T911D, J912D, U911D, U910D, U912D, A911D, A909D, A910D, J909D",iPhone 15 Pro Max
190021,"Samsung Cell Phones - Galaxy S23 5G, 128GB - 50 Units - Grade A+(T) - AT034410","$19,350",9 bidders,"Apr 2, 2024 11:20:00 AM PDT",50.0,387.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys235g_252.jpg,AT034410,Grade A+(T),SMS911U,128GB,"black, lavender, green","U659D, A662D, E662D, S662D, S659D, A661D, U662D, U661D, A659D",Samsung Galaxy S23
190050,Apple Cell Phones - iPhone 14 Pro - 48 Units - Grade B+(T) - AT034429,"$30,680",9 bidders,"Apr 2, 2024 10:28:50 AM PDT",48.0,639.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14pro_589.jpg,AT034429,Grade B+(T),IPH 14P,"512GB, 128GB","Purple, Black, Gold, Silver","A520D, S514D, A519D, E513D, A511D, A514D, D511D, E512D, A512D, A521D, A513D, A522D, E514D, E511D",iPhone 14 Pro
190080,"Samsung Cell Phones - Galaxy Z Fold3 5G, 256GB - 25 Units - Grade B+(T) - AT034325","$9,050",6 bidders,"Apr 2, 2024 11:25:18 AM PDT",25.0,362.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxyfold35_993.jpg,AT034325,Grade B+(T),SMF926U,256GB,"black, green","U040D, A054D, A040D",Samsung Galaxy Z Fold3
190060,Samsung Cell Phones - Galaxy A14 5G - 100 Units - Grade B+(T) - AT034419,"$7,024",5 bidders,"Apr 2, 2024 11:26:40 AM PDT",100.0,70.24,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxya145g_270.jpg,AT034419,Grade B+(T),SMA146U,,black,"A656D, U479D, U656D, E656D, S656D",Samsung Galaxy A14
