listing_id,title,sku,grade,units,model,end_time,image_url,manifest_models,manifest_capacities,manifest_colors,manifest_part_numbers
231840,Apple Cell Phones - iPhone 16 Pro Max - 254 Units - Grade C(T) - CT0079829A,CT0079829A,C(T),254,iPhone 16 Pro Max,2025-06-19T16:30:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16promax_161.jpg,IPH 16PM,"512GB, 1TB, 256GB","WHT, NAT, BLK, GLD","J632E, J641E, U635E, J633E, A633E, J638E, J637E, J635E, J636E, J631E, A631E, J639E, U632E, U636E, J634E, U631E, U634E, S630E, U639E, J640E, J630E, U630E, U633E, S632E"
231784,Apple Cell Phones - iPhone 16 Pro Max - 250 Units - Grade C(T) - CT0080083A,CT0080083A,C(T),250,iPhone 16 Pro Max,2025-06-19T16:31:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16promax_160.jpg,IPH 16PM,"512GB, 1TB, 256GB","WHT, NAT, BLK, GLD","J632E, A636E, J641E, S631E, J633E, J638E, J637E, S638E, J635E, J636E, J631E, J639E, U632E, U636E, U637E, J634E, U631E, S630E, J640E, J630E, U630E, U633E, S633E"
232016,Apple Cell Phones - iPhone 16 Pro Max - 53 Units - Grade A+(T) - CT0079872A,CT0079872A,A+(T),53,iPhone 16 Pro Max,2025-06-19T16:32:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16promax_162.jpg,IPH 16PM,"512GB, 1TB, 256GB","WHT, NAT, BLK, GLD","A632E, A636E, J641E, S634E, A638E, J637E, A635E, J635E, J636E, U632E, U636E, J634E, U634E, U631E, U639E, S630E, A634E, J630E, U630E, U633E, U638E"
231942,Apple Cell Phones - iPhone 16 Pro Max - 50 Units - Grade B+(T) - CT0079883A,CT0079883A,B+(T),50,iPhone 16 Pro Max,2025-06-19T16:33:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16promax_162.jpg,IPH 16PM,"512GB, 1TB, 256GB","WHT, GLD, BLK, NAT","J632E, S638E, U635E, U636E, J635E, U640E, J636E, J630E, A631E, U630E, U633E, U637E, A633E, U632E, U631E, J638E, U638E"
231903,Apple Cell Phones - iPhone 16 Pro Max - 35 Units - Grade B(T) - CT0079906A,CT0079906A,B(T),35,iPhone 16 Pro Max,2025-06-19T16:34:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16promax_161.jpg,IPH 16PM,"512GB, 1TB, 256GB","WHT, NAT, BLK, GLD","J632E, J641E, U636E, J635E, J636E, J631E, J630E, J640E, J633E, U633E, U630E, J634E, U632E, A633E, U634E"
231846,Apple Cell Phones - iPhone 16 Pro - 300 Units - Grade C(T) - CT0079831A,CT0079831A,C(T),300,iPhone 16 Pro,2025-06-19T16:35:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16pro_159.jpg,IPH 16P,"512GB, 1TB, 128GB, 256GB","WHT, NAT, BLK, GLD","A616E, E615E, A618E, A620E, S628E, S621E, U618E, A615E, J618E, U614E, U616E, J623E, U619E, S623E, J629E, A617E, J615E, U617E, J626E, J620E, J624E, J627E, A614E, J625E, J617E, U622E, U620E, A624E, U615E, J614E, J616E, S618E, J628E, E620E, J619E, S619E, J622E, U629E, J621E, A621E, P619E, U621E"
231930,Apple Cell Phones - iPhone 16 Pro - 78 Units - Grade A+(T) - CT0079853A,CT0079853A,A+(T),78,iPhone 16 Pro,2025-06-19T16:36:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16pro_160.jpg,IPH 16P,"1TB, 128GB, 256GB, 512GB","WHT, NAT, BLK, GLD","A616E, A618E, A620E, A622E, U618E, U614E, U616E, U619E, S620E, U617E, J627E, U622E, U620E, U615E, S618E, J616E, J628E, A623E, U623E, E616E, U621E, U624E"
231750,Apple Cell Phones - iPhone 16 Pro - 69 Units - Grade B+(T) - CT0079858A,CT0079858A,B+(T),69,iPhone 16 Pro,2025-06-19T16:37:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16pro_158.jpg,IPH 16P,"512GB, 1TB, 128GB, 256GB","WHT, NAT, BLK, GLD","A620E, A622E, U618E, J618E, U614E, U616E, U619E, A629E, U617E, E618E, A614E, U622E, U620E, U615E, J614E, U629E, U623E, J621E, A628E, U621E, U624E, U626E"
231747,Apple Cell Phones - iPhone 16 Pro - 16 Units - Grade AA+(T) - CT0080000A,CT0080000A,AA+(T),16,iPhone 16 Pro,2025-06-19T16:38:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16pro_158.jpg,IPH 16P,"128GB, 256GB","WHT, BLK, GLD","U614E, U619E, U616E, U615E, A620E, J619E, U618E"
231833,Apple Cell Phones - iPhone 16 Plus - 125 Units - Grade C(T) - CT0079838A,CT0079838A,C(T),125,iPhone 16 Plus,2025-06-19T16:39:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_129.jpg,IPH 16PL,"512GB, 128GB, 256GB","GRN, BLK, PNK, WHT, BLU","J606E, A599E, U605E, J601E, J600E, S600E, J607E, J610E, J602E, J611E, U601E, U610E, J604E, J599E, U603E, A604E, U602E, J609E, U608E, U599E, A608E, J613E, J603E, E602E, J608E, U606E, U604E, U600E"
231768,Apple Cell Phones - iPhone 16 Plus - 44 Units - Grade A+(T) - CT0079893A,CT0079893A,A+(T),44,iPhone 16 Plus,2025-06-19T16:40:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_128.jpg,IPH 16PL,"512GB, 128GB, 256GB","GRN, BLK, PNK, WHT, BLU","J611E, U601E, A601E, A606E, U599E, J604E, S601E, U603E, S600E, U602E, A599E, A602E"
231853,Apple Cell Phones - iPhone 16 Plus - 25 Units - Grade B+(T) - CT0079955A,CT0079955A,B+(T),25,iPhone 16 Plus,2025-06-19T16:41:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16plus_129.jpg,IPH 16PL,"512GB, 128GB, 256GB","GRN, BLK, PNK, BLU, WHT","U601E, J606E, U610E, A599E, U608E, U599E, U609E, J601E, J599E, U603E, U607E, U602E, U613E, U604E, U600E"
231948,Apple Cell Phones - iPhone 16e - 85 Units - Grade B+(T) - CT0079848A,CT0079848A,B+(T),85,iPhone 16e,2025-06-19T16:42:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16e_32.jpg,IPH 16E,"128GB, 256GB","BLK, WHT","U866E, U869E, U868E, U867E, J866E"
231793,Apple Cell Phones - iPhone 16e - 68 Units - Grade A+(T) - CT0079860A,CT0079860A,A+(T),68,iPhone 16e,2025-06-19T16:43:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16e_31.jpg,"PH 16E, IPH 16E","512GB, 128GB, 256GB","BLK, WHT","U866E, J870E, A866E, A867E, U869E, J867E, U868E, U867E, J866E"
231827,"Apple Cell Phones - iPhone 16e, 128GB - 50 Units - Grade B+(T) - CT0079826A",CT0079826A,B+(T),50,iPhone 16e,2025-06-19T16:44:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16e_31.jpg,IPH 16E,128GB,"BLK, WHT","U866E, J867E, U867E"
231761,Apple Cell Phones - iPhone 16e - 15 Units - Grade B(T) - CT0080003A,CT0080003A,B(T),15,iPhone 16e,2025-06-19T16:45:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone16e_31.jpg,IPH 16E,"128GB, 256GB","BLK, WHT","J866E, U866E, J868E, J867E, U868E, U867E"
